event_id,ticker,step0_credibility,dmg_true,dmg_partial,dmg_false,dmg_timing,q1_price_requires,q1_verdict,q3_date,premise,bear_hits_valuation,batch,q1_verdict_raw,q1,q1_ord,dmg_true_ord,dmg_partial_ord,dmg_false_ord,step0,step0_ord,q1_model_na,premise_verdict,premise_conf,premise_note,premise_dir,premise_damage,T_y,N_y,f_shock_rel_drop,bm_T,rel_T,bm_N,rel_N,v1_grade,v1_ord
E03,SFM,中,重大,有限,輕微或受益,估值1-2週;同店2-6季;增長率改變1-3年,-12.3% 永久自由現金流(相對大市),更好,2017-08-11(FY2017第二季 10-Q 法定申報上限;Q1 於 2017-05-04 申報),新店開店指引不下修逾10%且同店銷售不轉負,是,批1,更好,更好,1.0,3.0,2.0,1.0,中,2,False,守住,低,同店銷售未轉負,S,0.0,-0.118296999252872,-0.118296999252872,-0.0204795710825643,0.0771270946476929,-0.19542409390056492,0.0771270946476929,-0.19542409390056492,高度適用,3.0
E03,GIS,中,重大,有限,輕微或受益,估值1-2週;淨價2-6季;品牌淨價可回復,-4.1% 永久自由現金流(相對大市),更好,2017-07-27(FY2017 10-K 法定申報上限;按上年節奏實際約 2017-06-29),有機淨價實現不轉負且Wal-Mart佔比不升逾22%,是,批1,更好,更好,1.0,3.0,2.0,1.0,中,2,False,守住,中,有機淨價實現未轉負,S,0.0,-0.2514298314613215,-0.2514298314613215,-0.0512480340887316,0.0771270946476929,-0.3285569261090144,0.0771270946476929,-0.3285569261090144,高度適用,3.0
E04,ZM,中,重大,有限,輕微或受益,估值數日至數週;用戶流失1-3季;終值重估1-3年,-25.9% 永久自由現金流(相對大市;等價於隱含g由5.01%降至4.59%),相稱,2021-04-01(FY2021 10-K 法定申報上限;財年結束2021-01-31、FY2020 10-K 於 2020-03-20 申報),流動遞延收入不停增長且FY2022收入按年增速不跌至20%以下,是,批1,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,守住,高,FY2022 收入按年 +55%、遞延收入續增,S,0.0,-0.6597002961855174,-0.7080098623655895,-0.2959189083070075,-0.5316013494120313,-0.1280989467734861,-0.5913852552659109,-0.11662460709967859,部分適用,2.0
E04,PTON,中,重大,有限,輕微或受益,估值數日至數週;硬件需求2-4季;產能調整1-2年,-28.5% 永久自由現金流(相對大市;等價於隱含g由4.22%降至3.65%),相稱,2021-05-10(FY2021第三季 10-Q 法定申報上限;上一份 10-Q 於 2021-02-05 申報),全年收入指引不下修且FY2021第三季收入按年不跌逾10%,是,批1,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,被推翻,高,2021-11 起連續大幅下修指引、FY2022 收入轉跌,S,1.0,-0.7566965061999171,-0.8105975827494291,-0.3285920335751541,-0.5316013494120313,-0.22509515678788583,-0.5913852552659109,-0.21921232748351815,高度適用,3.0
E04,TDOC,中,重大,重大,輕微或受益,估值數日至數週;會員續約2-4季;盈虧平衡時點1-3年,-35.4% 永久自由現金流(相對大市;虧損公司、實際讀作「終值打六五折、盈虧平衡推後」),相稱,2021-05-10(2021年第一季 10-Q 法定申報上限;上一份 10-Q 於 2020-11-06 申報),access收入佔比不跌穿70%且第一季access收入不零增長(否決來源:關鍵資料不足——COVID專用會員佔access收入的比例查不到、該格是界定損害上限的必要環節),是,批1,相稱,相稱,2.0,3.0,3.0,1.0,中,2,False,守住,高,access 收入佔比與金額在一年內續升,S,0.0,-0.6320445252788047,-0.676823783067452,-0.4231895217535162,-0.5316013494120313,-0.10044317586677343,-0.5913852552659109,-0.08543852780154104,部分適用,2.0
E04,FSLY,中,重大,重大,輕微或受益,估值數日至數週;用量1-2季;價格1-2年,-40.4% 永久自由現金流(相對大市;經營現金流利潤率僅3.2%、實際讀作「終值規模低四成」),相稱,2021-05-10(2021年第一季 10-Q 法定申報上限;上一份 10-Q 於 2020-11-06 申報),收入按年增速不跌至25%以下且毛利率按年不跌逾200bp(否決來源:關鍵資料不足——疫情期增量流量佔用量的比例查不到、該格是界定損害上限的必要環節),是,批1,相稱,相稱,2.0,3.0,3.0,1.0,中,2,False,被推翻,高,2021 年第二季起收入增速跌穿 25%,S,1.0,-0.7613546515555968,-0.7964749553774587,-0.3788581407507145,-0.5316013494120313,-0.22975330214356549,-0.5913852552659109,-0.2050897001115478,高度適用,3.0
E09,OXY,中,重大,重大,輕微或受益,估值數日至數週;實現價即時至2季;油價水平決定是否永久,-3.0% 永久自由現金流(相對大市;約等於實現油價永久低1-2美元/桶、推算),更好,2015-03-02(FY2014 10-K 法定申報上限;上年 FY2013 10-K 於 2014-03-03 申報),每桶現金邊際(減營運成本、油品稅及管理費用後)不跌穿12美元且上游不減值,是,批1,更好,更好,1.0,3.0,3.0,1.0,中,2,False,被推翻,高,2015 至 2016 年大額減值、每桶現金邊際跌穿門檻,S,1.0,-0.0945875312958522,-0.1149681610188281,-0.0649113238254601,-0.1335425788256163,0.038955047529764086,-0.2216635719558859,0.1066954109370578,部分適用,2.0
E09,RIG,中,重大,重大,輕微或受益,估值數日至數週;日費於合約到期分批重設1-6季;積壓耗盡後全面反映1-2年,-35.3% 永久自由現金流(相對大市;約等於日費永久低約30%、推算),相稱,2015-02-27(FY2014 10-K;上年 FY2013 10-K 於 2014-02-27 申報),合約積壓按年不跌逾15%且超深水平台平均日費不跌穿40萬美元/日(否決來源:關鍵資料不足——積壓金額與到期分佈查不到、該格是界定損害上限的必要環節),是,批1,相稱,相稱,2.0,3.0,3.0,1.0,中,2,False,被推翻,高,合約積壓與超深水日費同跌,S,1.0,-0.2586805808406948,-0.42181131327237,-0.3184577426690151,-0.1335425788256163,-0.1251380020150785,-0.2216635719558859,-0.20014774131648408,高度適用,3.0
E09,HAL,中,重大,有限,輕微或受益,估值數日至數週;訂單與定價滯後2-4季;恢復1-2年,-15.5% 永久自由現金流(相對大市;約等於北美收入永久跌12-15%、推算),更好,2015-02-07(FY2014 10-K;上年 FY2013 10-K 於 2014-02-07 申報),全年收入按年不跌逾10%且北美經營收入不轉跌(否決來源:關鍵資料不足——經營現金流與分部收入拆分查不到、該格是界定損害上限的必要環節),是,批1,更好,更好,1.0,3.0,2.0,1.0,中,2,False,被推翻,高,2015 年收入按年大跌、北美經營收入轉負,S,1.0,-0.1335425788256163,-0.2216635719558859,-0.1697728234648634,-0.1335425788256163,0.0,-0.2216635719558859,0.0,部分適用,2.0
E09,CVX,中,重大,有限,輕微或受益,估值數日至數週;上游即時至2季;下游對沖同時,-8.9% 永久自由現金流(相對大市;約等於油價永久低約5美元/桶、推算),更好,2015-02-21(FY2014 10-K;上年 FY2013 10-K 於 2014-02-21 申報),全年下游盈利按年有上升且上游盈利跌幅不逾25%,是,批1,更好,更好,1.0,3.0,2.0,1.0,中,2,False,被推翻,高,上游盈利跌幅遠超 25%,S,1.0,-0.1182610286451288,-0.1669519953971032,-0.0749778082179311,-0.1335425788256163,0.015281550180487491,-0.2216635719558859,0.0547115765587827,部分適用,2.0
E05,WAL,中,重大,有限,輕微,第一波2至3週；重定價4至8季,1.78倍有形帳面（隱含ROTCE 13.7%）,現價要求比我們預期更好,2023-04-18,存款人不會在數週內搬走佔比45%的無息活期,否,批2,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.5,中,2,False,被推翻,高,2023 年首兩季存款大額流出,S,1.0,0.8431129690971926,0.8625968987836854,-0.6325758606912393,0.28159474133409457,0.561518227763098,0.17336381947956037,0.689233079304125,資料不足,
E05,MCB,中,重大,有限,輕微或受益,存款2至3季；信用損失延後2至6季,1.04倍帳面（隱含ROE 9.2%）,相稱,2023-04-20,存款不再加速流失（2022年已跌12%）,否,批2,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,守住,中,存款在 2023 年第二季起回穩,S,0.0,0.5575104630703576,0.4394503281011681,-0.6202120430695943,0.28159474133409457,0.275915721736263,0.17336381947956037,0.2660865086216077,資料不足,
E05,ZION,中,重大,有限,輕微或受益,存款1至2季；重定價4至8季,1.07倍有形帳面（隱含ROTCE 9.4%）,現價要求比我們預期更壞,2023-04-19,存款流失不再加速且不需賣AFS實現虧損,是,批2,現價要求比我們預期更壞,更壞,3.0,3.0,2.0,1.0,中,2,False,被推翻,高,2023 年第一季存款加速流失,S,1.0,0.621301024038484,0.5269003001690007,-0.5315001771884305,0.28159474133409457,0.3397062827043894,0.17336381947956037,0.3535364806894403,資料不足,
E05,SCHW,中,重大,有限,輕微,客戶遷移2至4季；資本受限1至2年,約3.8倍帳面（券商模式應看盈利倍數）,現價要求比我們預期更好,2023-04-17,客戶現金遷移在利率見頂後停止且不需賣AFS,是,批2,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.5,中,2,False,被推翻,中,客戶現金遷移延續至 2024 年,S,1.0,0.2402402864599726,0.2281398494804059,-0.3928119742953471,0.28159474133409457,-0.041354454874121954,0.17336381947956037,0.05477603000084552,資料不足,
E06,KO,低,有限,輕微或受益,輕微或受益,二至三季見量；八至十二季見全效,5.23倍收入（21.1倍盈利；反推永續盈利增速5.1%）,相稱,2023-10-24,用藥人數不會在兩三年內升一個數量級,否,批2,相稱,相稱,2.0,2.0,1.0,1.0,低,1,False,守住,高,用藥人數未見一個數量級的躍升、KO 生意無損,S,0.0,0.0067956849387011,-0.1616044341586693,-0.0645016803991384,-0.1216479424358731,0.1284436273745742,-0.1969947528291501,0.035390318670480814,部分適用,2.0
E06,MDLZ,低,有限,輕微或受益,輕微或受益,一至兩季見量；四至八季見利潤,2.81倍收入（19.7倍盈利；反推永續盈利增速4.7%）,現價要求比我們預期更壞,2023-11-01,銷量走弱是加價彈性而非需求結構下移,否,批2,現價要求比我們預期更壞,更壞,3.0,2.0,1.0,1.0,低,1,False,守住,低,銷量走弱仍以加價彈性解讀、未見需求結構下移的證據,S,0.0,-0.1216479424358731,-0.274884632571596,-0.1221734076828879,-0.1216479424358731,0.0,-0.1969947528291501,-0.0778898797424459,部分適用,2.0
E06,DXCM,低,重大,有限,輕微或受益,四至八季見新增病人；三至五年見病人池,11.41倍收入（111.4倍盈利；兩段式反推要求未來八年收入複合約20%）,相稱,2023-10-26,藥與連續監測是互補而非替代,是,批2,相稱,相稱,2.0,3.0,2.0,1.0,低,1,False,守住,中,藥與連續監測在臨床用法上仍屬互補,S,0.0,-0.3532913553704048,-0.4738334644461106,-0.1929965214129285,-0.1216479424358731,-0.2316434129345317,-0.1969947528291501,-0.2768387116169605,高度適用,3.0
E06,RMD,低,有限,輕微或受益,輕微或受益,二至六季見裝置；三至五年見病人池,5.04倍收入（23.0倍盈利；反推永續盈利增速5.5%）,現價要求比我們預期更壞,2023-10-26,藥不是核准的睡眠呼吸中止療法且增長來自未確診者,是,批2,現價要求比我們預期更壞,更壞,3.0,2.0,1.0,1.0,低,1,False,守住,中,期內未見藥成為核准的睡眠呼吸中止療法,S,0.0,0.2652975396314525,0.1730408917019086,-0.0835714094586228,-0.1216479424358731,0.3869454820673256,-0.1969947528291501,0.3700356445310587,部分適用,2.0
E07,NVDA,中,重大,有限,輕微或受益,一至兩季見訂單；八至十二季見營收,31.96倍收入（58倍盈利；以三成半淨利率與30倍盈利反推需收入由1090億美元升至約3300億）,現價要求比我們預期更好,2025-02-26,超大規模雲廠的資本開支在2025年繼續增長且自研晶片不搶走推論份額,是,批2,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.0,中,2,False,守住,高,2025 年超大規模雲廠資本開支續增,S,0.0,0.3895843566618304,0.2461502317795942,-0.1864827707442007,0.4334576395008165,-0.043873282838986116,0.2863159996605124,-0.04016576788091822,部分適用,2.0
E07,MU,中,有限,輕微或受益,輕微或受益,二至四季見價格；六至八季見盈利谷底,3.95倍收入（貼近自身一年中位3.98；29.5倍盈利反推永續盈利增速6.2%）,相稱,2025-03-20,HBM的供給約束與每部AI伺服器的記憶體含量增長會延續超過一年,否,批2,相稱,相稱,2.0,2.0,1.0,1.0,中,2,False,守住,高,HBM 供給約束與記憶體含量增長延續,S,0.0,2.7674355962453667,2.480772564104728,-0.0847802185453845,0.4334576395008165,2.33397795674455,0.2863159996605124,2.1944565644442156,部分適用,2.0
E07,VRT,中,重大,有限,輕微或受益,二至四季見訂單；四至六季見盈利,7.52倍收入（自身一年中位4.66高出61%；123.8倍盈利；以一成淨利率與25倍盈利反推需收入由74億美元升至約220億）,現價要求比我們預期更好,2025-02-12,數據中心的機櫃與電力建設在2025至2026年不會減速,是,批2,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.0,中,2,False,守住,高,2025 年數據中心機櫃與電力建設未減速,S,0.0,1.6376050878309818,0.412966820078458,-0.4217086065739593,0.4334576395008165,1.2041474483301653,0.2863159996605124,0.12665082041794556,資料不足,
E07,ANET,中,重大,有限,輕微或受益,一至兩季見訂單；四至八季見營收,24.75倍收入（自身一年中位16.22高出53%；約62倍盈利；以39%淨利率與30倍盈利反推需收入由66億美元升至約140億）,現價要求比我們預期更好,2025-02-05,微軟與Meta的AI網絡開支繼續增長且白盒交換機不搶走份額,是,批2,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.0,中,2,False,守住,中,兩大客戶開支續增;白盒份額變化未見定論,S,0.0,0.3972994763188866,0.0388401367291295,-0.348790563606706,0.4334576395008165,-0.03615816318192988,0.2863159996605124,-0.2474758629313829,部分適用,2.0
E10,FSLR,中,重大,有限,輕微或受益,一至兩季見訂單；四至八季見收入與毛利,0.93倍收入（貼近自身一年低位0.902–2.033；帳面0.59倍；扣淨現金後0.76倍；以一成淨利率與12倍盈利反推需收入由37.4億美元降至29億美元即現價已假設收入萎縮兩成二）,現價要求比我們預期更壞,2017-02-21（推算）,抵免的日落表在未來兩年不被立法改動且公用事業買家不因政策不明而取消專案,是,批2,現價要求比我們預期更壞,更壞,3.0,3.0,2.0,1.0,中,2,False,守住,低,抵免日落表未被立法改動;專案取消未成潮,S,0.0,0.7550145112701392,0.6997587576723139,-0.0789954852189095,0.08247716327379226,0.6725373479963469,0.06756817141820236,0.6321905862541115,部分適用,2.0
E10,RUN,中,重大,有限,輕微或受益,一至兩季見基金關帳；四至八季見裝機量,1.37倍收入（貼近自身一年低位1.276–3.788；0.85倍帳面；相當於0.30倍公司自算的20年保留價值1725.5百萬美元；以一成半淨利率與12倍盈利反推需收入由3.77億美元降至2.9億美元）,現價要求比我們預期更壞,2017-03-01（推算）,稅務投資基金在未來一年繼續關帳且不因政治風險要求大幅提高回報,是,批2,現價要求比我們預期更壞,更壞,3.0,3.0,2.0,1.0,中,2,False,守住,中,稅務投資基金續關帳,S,0.0,-0.0546443037209115,-0.1628587528075491,-0.0046172505133678,0.08247716327379226,-0.13712146699470376,0.06756817141820236,-0.23042692422575145,部分適用,2.0
E10,THC,中,重大,有限,輕微或受益,一至兩季見投保人數；四至八季見呆帳率與費率,0.10倍收入（推算；TTM收入約197.8億美元；3.83倍帳面；11.2倍盈利；以1.5%淨利率與12倍盈利反推需收入由198億美元降至112億美元）,現價要求比我們預期更壞,2017-02-27（推算）,呆帳撥備佔毛收入比率不升穿8.5%（九個月現為6.9%）且權益不跌破400百萬美元,是,批2,現價要求比我們預期更壞,更壞,3.0,3.0,2.0,1.0,中,2,False,守住,中,呆帳撥備比率未升穿門檻、權益遠高於 4 億,S,0.0,-0.1904082041987649,-0.1808307660336761,-0.3275430312176617,0.08247716327379226,-0.27288536747255715,0.06756817141820236,-0.24839893745187847,大致不適用,1.0
E10,CNC,中,重大,有限,輕微或受益,一至兩季見會員數；二至四見費率；四至八季見醫療賠付率,0.163倍收入（貼近自身一年中位0.152；1.00倍帳面；14倍盈利；以2%淨利率與13倍盈利反推需收入由350億美元降至220億美元）,現價要求比我們預期更壞,2017-02-21（推算）,醫療賠付率不升穿89%（第三季為87%）且會員數不按年下跌,是,批2,現價要求比我們預期更壞,更壞,3.0,3.0,2.0,1.0,中,2,False,守住,高,賠付率未升穿 89%、會員數續增,S,0.0,0.3753643305925138,0.4902330016800464,-0.2033725101576675,0.08247716327379226,0.29288716731872155,0.06756817141820236,0.42266483026184404,部分適用,2.0
E11,META,中,重大,有限,輕微或受益,一至兩季見廣告主行為；二至四見定價；四至八季見收入,13.2倍收入（33.7倍盈利；7.2倍帳面；按盈利反推的隱含永續增長＋4.9%；以39.2%淨利率與25倍盈利反推需收入由407億美元升至549億美元即＋35%；20倍盈利則需686億美元即＋69%）,現價要求比我們預期更好,2018-04-25,每則廣告平均定價維持按年上升且廣告收入增長不跌穿兩成半,是,批2,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.0,中,2,False,守住,高,2018 年廣告收入與每則廣告定價同升,S,0.0,0.0217176863331749,-0.0171441046695628,-0.1131349851563866,-0.1411209800109806,0.1628386663441555,-0.19686418717737533,0.17972008250781252,高度適用,3.0
E11,SNAP,中,重大,有限,輕微或受益,一至兩季見廣告主；四至八季見每用戶收入,25.3倍收入（無盈利故無法以盈利反推永續增長；以成熟期20%淨利率與25倍盈利反推需收入由8.25億美元升至約42億美元即5.1倍；30%淨利率亦需28億美元即3.4倍）,現價要求比我們預期更好,2018-05-01,季度收入按年增長維持四成以上且每用戶收入不按年下跌,是,批2,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.0,中,2,False,守住,低,收入增速大體維持、每用戶收入上升,S,0.0,-0.3039596463551361,-0.3765842696851879,-0.1296216447930922,-0.1411209800109806,-0.1628386663441555,-0.19686418717737533,-0.17972008250781255,高度適用,3.0
E08,NKE,中,重大,有限,輕微,2025年5至9月兩個季度內見到；持續至2026,現價隱含無增長現金流倍數 1.46 倍,現價要求比我們預期更好,2025-06-26,NKE 不能把關稅成本轉嫁,是,批3,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.5,中,2,False,守住,中,加價只做到部分轉嫁、毛利率明顯受壓,D,1.0,-0.4137861014733083,-0.3779829754402509,-0.0675741797290363,0.07191973068968535,-0.4857058321629937,0.033022708309676505,-0.4110056837499274,部分適用,2.0
E08,RH,中,重大,重大,有限,2025年5至9月兩個季度內見到,現價隱含無增長現金流倍數 25.13 倍（現金流為低谷、分母不可用）,資料不足,2025-06-05,現金流不會由 0.54% 的利潤率再跌,是,批3,資料不足,資料不足,,3.0,3.0,2.0,中,2,True,被推翻,低,期內現金流進一步轉弱、不只是原地,S,1.0,-0.4803712512061012,-0.4326828676287575,-0.318913176868893,0.07191973068968535,-0.5522909818957865,0.033022708309676505,-0.46570557593843404,高度適用,3.0
E08,BBY,中,重大,有限,輕微,2025年5至9月兩個季度內見到；持續至2026,現價隱含無增長現金流倍數 0.66 倍（現價要求經營現金流永久跌 34%）,現價要求比我們預期更壞,2025-05-29,加價能力有限（公司自述）,是,批3,現價要求比我們預期更壞,更壞,3.0,3.0,2.0,1.5,中,2,False,守住,中,"公司自述加價能力有限,其後亦未見成功加價而不損量",D,1.0,-0.2016093756431288,-0.1805785001906131,-0.1566381695258444,0.07191973068968535,-0.27352910633281413,0.033022708309676505,-0.21360120850028963,高度適用,3.0
E08,AAPL,中,有限,輕微,輕微,2025年5至9月見到（Apple 財年 9 月結）；持續至2026,現價隱含無增長現金流倍數 2.84 倍,現價要求比我們預期更好,2025-05-01,服務業務不能吸收硬件端的關稅成本,是,批3,現價要求比我們預期更好,更好,1.0,2.0,1.5,1.5,中,2,False,被推翻,中,服務業務與整體毛利率守住、吸收了硬件端成本,D,0.0,0.0349806263679204,0.0195417478579613,-0.1243501039691472,0.07191973068968535,-0.03693910432176495,0.033022708309676505,-0.013480960451715204,部分適用,2.0
E12,QCOM,中,重大,有限,輕微,2019年第三至第四季見到；維持至2020（份額永久）,現價隱含無增長現金流倍數 1.58 倍（即要求經營現金流 61.81 億美元）,現價要求比我們預期更好,2019-07-31,授權合約會因清單而中斷（不是貨品出口）,是,批3,現價要求比我們預期更好,更好,1.0,3.0,2.0,1.5,中,2,False,被推翻,中,授權關係未因清單中斷,D,0.0,0.1335125967390686,0.1037085212825634,-0.1788163266830903,0.45704277218763767,-0.3235301754485691,0.4358808467603036,-0.33217232547774017,部分適用,2.0
E12,SWKS,中,有限,有限,輕微,2019年第三至第四季見到；份額永久,現價隱含無增長現金流倍數 0.73 倍（連全真地板 89.70 美元都高於現價 70.41）,現價要求比我們預期更壞,2019-11（FY2019 10-K 客戶集中度節）,FY2018 的客戶集中度下降不會回升,是,批3,現價要求比我們預期更壞,更壞,3.0,2.0,2.0,1.5,中,2,False,被推翻,高,FY2019 客戶集中度反而上升,S,1.0,0.6122189311025643,0.6097759217116048,0.0036039049030587,0.45704277218763767,0.15517615891492664,0.4358808467603036,0.1738950749513012,部分適用,2.0
E12,MU,中,資料不足,資料不足,資料不足,2019年第三至第四季見到（但鏈未成立）,現價隱含無增長現金流倍數 0.16 倍（分母為週期高點、模型不適用）,資料不足,2019-10（FY2019 10-K 客戶集中度節）,現金流不是週期高點,是,批3,資料不足,資料不足,,,,,中,2,True,被推翻,高,FY2019 現金流自 FY2018 高位大幅回落,S,1.0,0.357836506025966,0.2359465866822518,-0.0469239850717367,0.45704277218763767,-0.09920626616167166,0.4358808467603036,-0.1999342600780518,部分適用,2.0
E12,LITE,中,重大,有限,輕微,2019年第三至第四季見到；份額永久；毛利率回不去,現價隱含無增長現金流倍數 0.88 倍（全真地板 47.28 美元僅高於現價 46.32 約 2%）,相稱,2019-08-13（FY2019 10-K 客戶集中度表）,其他客戶吸收不了華為那 11%,是,批3,相稱,相稱,2.0,3.0,2.0,1.5,中,2,False,被推翻,低,華為佔比消失、其他客戶未見同額補上,D,0.0,0.5562490383493093,0.5038476064325539,-0.030859923787826,0.45704277218763767,0.09920626616167161,0.4358808467603036,0.0679667596722503,部分適用,2.0
E13,ASAN,高,重大,重大,輕微,2022年第一至第二季（貨幣政策傳導即時）；數月內可收復一半以上,現價隱含永續增長 g* = 5.93%；利率升 100bp 價值 ×0.410,現價要求比我們預期更壞,2022-03-09,長息持續上升,是,批3,現價要求比我們預期更壞,更壞,3.0,3.0,3.0,1.5,高,3,False,守住,高,十年息一年內由 1.6% 升至 3.5%,D,1.0,-0.6545101727773721,-0.6960837223447445,-0.2972548743654308,-0.3574098570752603,-0.2971003157021118,-0.37075648793294175,-0.3253272344118027,部分適用,2.0
