entity_id,primary_ticker,公司名(申報索引),觸發日當時名稱,觸發日前後12個月有否改名,觸發日至出場日申報份數,期內有否10-K或10-Q,股數比,股數比成因,最大單日升幅,該日成交量是否暴增,該日事件,判定,一句理由
0001680247,PUMP,ProPetro Holding Corp.,ProPetro Holding Corp.,否,79,"有(79 份,含 10-K/10-Q)",1.1800326998955597,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",52.1%(2025-10-29),"是,11.6 倍於同期中位成交量","第三季業績日:核心壓裂業務收入按季跌一成,但同時披露 PROPWR 電力業務簽下 60MW 數據中心長約、累計簽約容量突破 150MW、目標 2030 年裝機 1GW,市場改以「AI/數據中心電力」敘事重新估值。",乾淨,公司身分、代號時段、申報連續正常;單日最大升幅 52% 有 12 倍成交量佐證屬真事件。
0001852131,NXT,Nextpower Inc.,Nextracker Inc.,"臨界:出場日(2025-10-23)後一週,2025-10-30 由 Nextracker Inc. 改名 Nextpower Inc.(嚴格 ±12 個月窗外 12 日);SEC 8-K(2025-11-12,5.03 章程修訂項)、地址(Fremont, CA)、SIC 皆不變,證據指向同一實體品牌重塑,惟臨近出場日,建議連同股數比缺數一併人手覆核",131,"有(131 份,含 10-K/10-Q)",,"面板 quarterly_v3 由 2024-03-31 起無 NXT 封面頁股數(面板覆蓋缺口),非企業行為",24.6%,不適用,不適用,乾淨,"原標「要人手看」,KARST-192 主線已核到底判乾淨:改名 2025-10-30 發生在出場日 2025-10-23 之後一星期,完全在持有期外;股數比缺數的成因是面板 quarterly_v3 由 2024-03-31 起沒有 NXT 的封面頁股數(與改名無關);逐月價格路徑連續 253 個交易日、單一代號、最大單日升 24.6%、成交量全程正常。"
0001274494,FSLR,"FIRST SOLAR, INC.","FIRST SOLAR, INC.",否,132,"有(132 份,含 10-K/10-Q)",1.0025892998577572,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",15.3%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000874238,STRL,"STERLING INFRASTRUCTURE, INC.","STERLING INFRASTRUCTURE, INC.",否,78,"有(78 份,含 10-K/10-Q)",0.9923757889036804,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",18.1%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001018840,ANF,ABERCROMBIE & FITCH CO /DE/,ABERCROMBIE & FITCH CO /DE/,否,66,"有(66 份,含 10-K/10-Q)",0.7760105103206251,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",23.9%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001048268,IESC,"IES Holdings, Inc.","IES Holdings, Inc.",否,92,"有(92 份,含 10-K/10-Q)",0.9960697528769212,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",14.9%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001329394,SIMO,Silicon Motion Technology CORP,Silicon Motion Technology CORP,否,17,"有(17 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",1.028750363620743,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",8.2%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001274494,FSLR,"FIRST SOLAR, INC.","FIRST SOLAR, INC.",否,118,"有(118 份,含 10-K/10-Q)",1.1404737794527735,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",45.5%(2013-04-09),"是,9.1 倍於同期中位成交量","8-K(文件名 a8-kanalystday2013.htm)披露 2013 年投資者日,公司上調 2013-2017 年盈利指引大幅高於市場預期,觸發大幅重估。",乾淨,公司身分、代號時段、申報連續正常;單日最大升幅 46% 有 9 倍成交量佐證屬真事件。
0001371285,TRUP,"TRUPANION, INC.","TRUPANION, INC.",否,148,"有(148 份,含 10-K/10-Q)",1.022662684159208,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",23.2%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000891166,UVE,"UNIVERSAL INSURANCE HOLDINGS, INC.","UNIVERSAL INSURANCE HOLDINGS, INC.",否,65,"有(65 份,含 10-K/10-Q)",1.0026490705926476,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",13.2%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000317788,APPS,"Digital Turbine, Inc.","Digital Turbine, Inc.",否,48,"有(48 份,含 10-K/10-Q)",1.0308101940515024,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",31.9%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001293135,VET,VERMILION ENERGY INC.,VERMILION ENERGY INC.,否,30,"有(30 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",1.0222849193776755,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",13.2%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001308648,AG,FIRST MAJESTIC SILVER CORP,FIRST MAJESTIC SILVER CORP,否,49,"有(49 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",1.6273625736146091,"非拆股,係企業併購增發:First Majestic 於 2024/25 以換股方式收購 Gatos Silver(SEC 同期有 F-4、F-4/A、424B3 招股文件同 11 份 Rule 425 併購通訊申報佐證),股數增加源於向 Gatos 股東發行新股。",15.5%,不適用,不適用,乾淨,"公司身分、代號時段、申報連續正常;股數比大幅偏離但已查明屬真實企業行動(併購增發/回購),非拆股。"
0001030894,CLS,CELESTICA INC,CELESTICA INC,否,108,"有(108 份,含 10-K/10-Q)",0.9998358755106226,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",16.5%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000018926,LUMN,"Lumen Technologies, Inc.","Lumen Technologies, Inc.",否,71,"有(71 份,含 10-K/10-Q)",1.0067720636227029,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",93.1%(2024-08-06),"是,32.9 倍於同期中位成交量","第二季業績日:自由現金流指引大幅上調(從 1-3 億美元上調至 10-12 億美元),紓緩市場對其財務狀況嘅憂慮,配合 AI 數據中心連接需求(Microsoft 等新客)敘事,觸發逼倉式反彈。",乾淨,公司身分、代號時段、申報連續正常;單日最大升幅 93% 有 33 倍成交量佐證屬真事件。
0000719413,HL,HECLA MINING CO/DE/,HECLA MINING CO/DE/,否,85,"有(85 份,含 10-K/10-Q)",1.0523289752746274,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",18.2%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001064728,BTU,PEABODY ENERGY CORP,PEABODY ENERGY CORP,否,64,"有(64 份,含 10-K/10-Q)",1.129513343799058,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",14.7%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000097210,TER,"TERADYNE, INC","TERADYNE, INC",否,123,"有(123 份,含 10-K/10-Q)",0.9758252209086248,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",20.5%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001483934,STNG,Scorpio Tankers Inc.,Scorpio Tankers Inc.,否,47,"有(47 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",1.004757342548511,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",12.0%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000916540,DAR,DARLING INGREDIENTS INC.,DARLING INGREDIENTS INC.,否,87,"有(87 份,含 10-K/10-Q)",0.9954273301672656,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",9.1%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001528849,RH,RH,Restoration Hardware Holdings Inc,"有(但屬同一實體品牌重塑:Restoration Hardware Holdings Inc → RH,改名與觸發日同日生效,非收購/借殼——同期 SIC、CIK、申報全部連續)",84,"有(84 份,含 10-K/10-Q)",0.5703853269608379,"非拆股,係大額股份回購:RH(前稱 Restoration Hardware)2016-2018 年間舉債大手回購,股數由約 3,590 萬股減至約 2,050 萬股(減幅約四成三),期內未見任何新股發行(SEC 8-K 無 3.02 項),屬同期廣為人知嘅逼倉觸發因素之一,與拆股無關。",44.8%,不適用,不適用,乾淨,"公司身分、代號時段、申報連續正常;股數比大幅偏離但已查明屬真實企業行動(併購增發/回購),非拆股。"
0001973832,AU,AngloGold Ashanti PLC,AngloGold Ashanti PLC,否,67,"有(67 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",1.1996455453481012,"非拆股,係企業併購增發:AngloGold Ashanti 於 2024 年以換股方式收購 Centamin(交易 2024 年 10 月完成),SEC 6-K 及 DFAN14A(併購遊說文件)佐證屬股份對價收購。",10.1%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常;股數比查明成因非拆股(見股數比成因欄)。
0001638833,SGRY,"Surgery Partners, Inc.","Surgery Partners, Inc.",否,56,"有(56 份,含 10-K/10-Q)",1.2150755714260963,"非拆股。股數比 1.22 屬正常波幅,期內 SEC 8-K 未見單一大額增發項目(3.02 項僅一次見於 2021-05-18,已在一年比較窗之外),升幅較大機會屬股權酬勞/員工認股權等常規攤薄。",47.5%(2020-04-17),"是,19.0 倍於同期中位成交量","無同日 8-K;兩日前(4/15)剛披露旗下化驗所以 4,000 萬美元和解司法部調查、交代 COVID 手術量跌至正常一至兩成;當日屬 2020 年 4 月大市普遍反彈期,查不到獨立同日催化劑,成交量支持是真事件。",乾淨,公司身分、代號時段、申報連續正常;股數比查明成因非拆股(見股數比成因欄);單日最大升幅 47% 有 19 倍成交量佐證屬真事件。
0001144879,APLD,Applied Digital Corp.,Applied Digital Corp.,否,137,"有(137 份,含 10-K/10-Q)",1.2820327010520172,"非拆股,係頻密新股融資:期內 SEC 8-K 反覆出現 3.02 項(未登記股權發行),包括 2025-06 因 CoreWeave 租約而發嘅認股權證,顯示公司靠頻密發新股/ATM 融資支持數據中心擴張,股數增長屬真實攤薄。",48.5%(2025-06-02),"是,7.9 倍於同期中位成交量","8-K 披露與 CoreWeave 簽訂北達科他州 Ellendale 園區兩份數據中心租約(100MW 及 150MW,合計約 70 億美元合約值,年期約 15 年),屬市場高度關注嘅 AI 算力基建大單。",乾淨,公司身分、代號時段、申報連續正常;股數比查明成因非拆股(見股數比成因欄);單日最大升幅 48% 有 8 倍成交量佐證屬真事件。
0001477641,DQ,DAQO NEW ENERGY CORP.,DAQO NEW ENERGY CORP.,否,34,"有(34 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",1.0722916392358244,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",25.3%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000723125,MU,MICRON TECHNOLOGY INC,MICRON TECHNOLOGY INC,否,153,"有(153 份,含 10-K/10-Q)",1.009093400979414,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",18.8%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000723612,CAR,"AVIS BUDGET GROUP, INC.","AVIS BUDGET GROUP, INC.",否,110,"有(110 份,含 10-K/10-Q)",1.0043560695753118,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",24.2%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000077543,TPC,TUTOR PERINI CORP,TUTOR PERINI CORP,否,73,"有(73 份,含 10-K/10-Q)",1.005825051191544,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",34.4%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001760965,KTB,"Kontoor Brands, Inc.","Kontoor Brands, Inc.",否,73,"有(73 份,含 10-K/10-Q)",1.0092217676571185,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",12.8%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001370450,WLDN,"Willdan Group, Inc.","Willdan Group, Inc.",否,79,"有(79 份,含 10-K/10-Q)",1.0269626355235646,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",29.7%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001530721,CPRI,Capri Holdings Ltd,Capri Holdings Ltd,否,61,"有(61 份,含 10-K/10-Q)",1.0007586366378336,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",12.5%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000107687,WGO,WINNEBAGO INDUSTRIES INC,WINNEBAGO INDUSTRIES INC,否,91,"有(91 份,含 10-K/10-Q)",0.9971304146930032,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",21.1%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001681459,FTI,TechnipFMC plc,TechnipFMC plc,否,38,"有(38 份,含 10-K/10-Q)",0.981157184478703,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",10.4%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000880266,AGCO,AGCO CORP /DE,AGCO CORP /DE,否,109,"有(109 份,含 10-K/10-Q)",0.9984909498800064,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",20.0%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000910329,MED,MEDIFAST INC,MEDIFAST INC,否,53,"有(53 份,含 10-K/10-Q)",0.9996557631119832,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",17.5%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000756894,B,BARRICK MINING CORP,BARRICK GOLD CORP,"有(但屬同一實體品牌重塑:2025-04 由 Barrick Gold Corp 改名 Barrick Mining Corp,CIK、SIC、申報連續不變,非借殼)",24,"有(24 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",0.9543116028543293,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",9.7%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
