theme,ticker,valid_from,valid_to,role,note,story,position,source_url,evidence_10k,added_by,valid_from_basis,filer_type
uranium_power,UEC,2022-01-01,2021-11-30,core,"ADR-0039 測試一:走廊大部分時間未生產(2024年先重啟礦場),冇售價可讀;同 NXE 同一把尺 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","鈾精礦賣給核電廠,售價由礦供給(長期減產、庫存見底)對反應堆需求決定;開一個新礦要七至十年,而買家是剛需——貴極都要買,停爐蝕得更多。","上游:核燃料(鈾礦開採,以及 LEU 的鈾濃縮一節)",https://www.sec.gov/Archives/edgar/data/1334933/000143774925029761/uec20250731_10k.htm,"2022:based on estimates of future uranium prices, production based on current estimates of recoverable mineral",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
uranium_power,NXE,2022-01-01,2021-11-30,core,"ADR-0039 測試一:開發階段冇產品收入,冇售價可讀 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","鈾精礦賣給核電廠,售價由礦供給(長期減產、庫存見底)對反應堆需求決定;開一個新礦要七至十年,而買家是剛需——貴極都要買,停爐蝕得更多。","上游:核燃料(鈾礦開採,以及 LEU 的鈾濃縮一節)",https://www.sec.gov/Archives/edgar/data/1698535/000119312526089376/d84755d40f.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",40-F
uranium_power,CEG,2022-02-01,2021-11-30,core,"2026-07-21 出世紙修正:規管電力股同鈾價脫鈎;CEG 歸電力商 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","鈾精礦賣給核電廠,售價由礦供給(長期減產、庫存見底)對反應堆需求決定;開一個新礦要七至十年,而買家是剛需——貴極都要買,停爐蝕得更多。","上游:核燃料(鈾礦開採,以及 LEU 的鈾濃縮一節)",https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,"2025:the mining and milling of uranium ore into uranium concentrates, the conversion of uranium concentrates",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
uranium_power,DUK,2022-01-01,2021-11-30,core,"2026-07-21 出世紙修正:規管電力股同鈾價脫鈎;CEG 歸電力商 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","鈾精礦賣給核電廠,售價由礦供給(長期減產、庫存見底)對反應堆需求決定;開一個新礦要七至十年,而買家是剛需——貴極都要買,停爐蝕得更多。","上游:核燃料(鈾礦開採,以及 LEU 的鈾濃縮一節)",https://www.sec.gov/Archives/edgar/data/1326160/000132616026000014/duk-20251231.htm,"2025:the mining and milling of uranium ore to produce uranium concentrates and services to convert,",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
uranium_power,SO,2022-01-01,2021-11-30,core,"2026-07-21 出世紙修正:規管電力股同鈾價脫鈎;CEG 歸電力商 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","鈾精礦賣給核電廠,售價由礦供給(長期減產、庫存見底)對反應堆需求決定;開一個新礦要七至十年,而買家是剛需——貴極都要買,停爐蝕得更多。","上游:核燃料(鈾礦開採,以及 LEU 的鈾濃縮一節)",https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/so-20251231.htm,"2025:their nuclear fuel needs for uranium, conversion services, enrichment services, and fuel fabrication with remaining",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
copper,FCX,2022-01-01,,core,,"賣給電氣化與工業製造商,售價由全球礦供給(品位下跌、罷工、新礦投產)決定;開一個新礦要十年以上。",上游:銅礦開採(銅精礦與陰極銅),https://www.sec.gov/Archives/edgar/data/831259/000083125926000012/fcx-20251231.htm,"2025:copper mines also produce molybdenum concentrate, gold and silver. In South America, we manage two",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
copper,SCCO,2022-01-01,,core,,"賣給電氣化與工業製造商,售價由全球礦供給(品位下跌、罷工、新礦投產)決定;開一個新礦要十年以上。",上游:銅礦開採(銅精礦與陰極銅),https://www.sec.gov/Archives/edgar/data/1001838/000110465926021492/scco-20251231x10k.htm,2022:copper ore to produce copper concentrates and molybdenum concentrates; the smelting of copper concentrates to,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
copper,TECK,2022-01-01,2021-11-30,core,"2026-07-24 剔:回測期(2022-2024中)冶金煤佔重‧非純銅‧按BHP/RIO先例全期出隊;2024賣煤轉純銅後可另議重入(ADR-0032) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","賣給電氣化與工業製造商,售價由全球礦供給(品位下跌、罷工、新礦投產)決定;開一個新礦要十年以上。",上游:銅礦開採(銅精礦與陰極銅),https://www.sec.gov/Archives/edgar/data/886986/000088698626000004/teck-20251231.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",40-F
copper,BHP,2022-01-01,2021-11-30,core,"2026-07-21 手術S1出隊:綜合礦業‧主盈利=鐵礦石(中國鋼鐵週期)‧非銅電氣化;去向=中國政策池‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","賣給電氣化與工業製造商,售價由全球礦供給(品位下跌、罷工、新礦投產)決定;開一個新礦要十年以上。",上游:銅礦開採(銅精礦與陰極銅),https://www.sec.gov/Archives/edgar/data/811809/000119312526354647/bhp-20260630.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",20-F
copper,RIO,2022-01-01,2021-11-30,core,"2026-07-21 手術S1出隊:鐵礦石佔盈利七成半以上‧非銅電氣化;去向=中國政策池‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","賣給電氣化與工業製造商,售價由全球礦供給(品位下跌、罷工、新礦投產)決定;開一個新礦要十年以上。",上游:銅礦開採(銅精礦與陰極銅),https://www.sec.gov/Archives/edgar/data/863064/000162828026009531/rio-20251231.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",20-F
china,BABA,2022-01-01,,core,,"盈利開關是中國監管政策(反壟斷、數據安全、ADR 退市風險),結構性落在供需卷之外——同一則政策消息把整批打上打落。","橫向:在美國上市的中國互聯網平台(共通點是政策開關,不是上下游位置)",https://www.sec.gov/Archives/edgar/data/1577552/000119312526231755/baba-20260331.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",20-F
china,BIDU,2022-01-01,,core,,"盈利開關是中國監管政策(反壟斷、數據安全、ADR 退市風險),結構性落在供需卷之外——同一則政策消息把整批打上打落。","橫向:在美國上市的中國互聯網平台(共通點是政策開關,不是上下游位置)",https://www.sec.gov/Archives/edgar/data/1329099/000119312526109289/d38065d20f.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",20-F
china,JD,2022-01-01,,core,,"盈利開關是中國監管政策(反壟斷、數據安全、ADR 退市風險),結構性落在供需卷之外——同一則政策消息把整批打上打落。","橫向:在美國上市的中國互聯網平台(共通點是政策開關,不是上下游位置)",https://www.sec.gov/Archives/edgar/data/1549802/000119312526157870/d53690d20f.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",20-F
china,NTES,2022-01-01,,core,,"盈利開關是中國監管政策(反壟斷、數據安全、ADR 退市風險),結構性落在供需卷之外——同一則政策消息把整批打上打落。","橫向:在美國上市的中國互聯網平台(共通點是政策開關,不是上下游位置)",https://www.sec.gov/Archives/edgar/data/1110646/000110465926043468/ntes-20251231x20f.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",20-F
energy,XOM,2022-01-01,2026-07-22,core,2026-07-22 手術(四之二十一/四之二十二):energy主題(一體化巨頭籃子)整條退役出宇宙‧存檔留痕‧唔再入答案卷/持倉候選(exp9_design.md四之二十二),"一體化把上游與下游兩種售價機制溝在一起——原油升價時上游賺、煉化蝕,對沖掉自己,所以讀不出單一缺口。",全鏈:一體化石油巨頭(上游開採 + 煉化 + 零售同一屋簷),https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm,2025:results. Data used in these integrated assessments included information obtained directly from the subsurface via,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
energy,CVX,2022-01-01,2026-07-22,core,2026-07-22 手術(四之二十一/四之二十二):energy主題整條退役出宇宙‧存檔留痕‧唔再入答案卷/持倉候選(exp9_design.md四之二十二),"一體化把上游與下游兩種售價機制溝在一起——原油升價時上游賺、煉化蝕,對沖掉自己,所以讀不出單一缺口。",全鏈:一體化石油巨頭(上游開採 + 煉化 + 零售同一屋簷),https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm,2025:international subsidiaries that engage in integrated energy and chemicals operations. Upstream operations consist primarily of,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
energy,COP,2022-01-01,2026-07-22,core,2026-07-22 手術:energy主題退役‧COP轉入新開upstream_oil純上游主題(見下),"一體化把上游與下游兩種售價機制溝在一起——原油升價時上游賺、煉化蝕,對沖掉自己,所以讀不出單一缺口。",全鏈:一體化石油巨頭(上游開採 + 煉化 + 零售同一屋簷),https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/cop-20251231.htm,"2025:power utilities; large industrials; independent, integrated or state-owned oil and gas companies; as well as",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
upstream_oil,COP,2022-01-01,,core,2026-07-22 新開純上游主題(缺口型‧可落注):按市值最大三隻機械化選員之一‧卷已有(舊energy主題成員轉入),"原油與天然氣賣給煉廠,售價由 OPEC+ 產能與頁岩投資紀律決定;樽頸是鑽探投資週期與有限的優質井位。","上游:純油氣開採(E&P),不持煉廠",https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/cop-20251231.htm,2025:Approximately 84 percent of our proved reserves are in countries that belong to the Organization,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
upstream_oil,EOG,2022-01-01,,core,2026-07-22 新開:按市值最大三隻機械化選員之一‧本次補讀卷(22份),"原油與天然氣賣給煉廠,售價由 OPEC+ 產能與頁岩投資紀律決定;樽頸是鑽探投資週期與有限的優質井位。","上游:純油氣開採(E&P),不持煉廠",https://www.sec.gov/Archives/edgar/data/821189/000082118926000054/eog-20251231.htm,"2025:2025, EOG's total estimated net proved reserves were 5,514 million barrels of oil equivalent (MMBoe),",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
upstream_oil,PXD,2022-01-01,2024-05-03,core,2026-07-22 新開:按市值最大三隻機械化選員之一‧2024年被埃克森收購‧出世紙dated退場(valid_to=收購完成日近似);defeatbeta/yfinance/futunn三源逐字稿‧股價‧業績歷史全部搵唔到退市股數據(如實記錄‧0份卷可用)‧數據全失‧名義成員(2026-07-22補註:機械規則下由OXY遞補‧見下),"原油與天然氣賣給煉廠,售價由 OPEC+ 產能與頁岩投資紀律決定;樽頸是鑽探投資週期與有限的優質井位。","上游:純油氣開採(E&P),不持煉廠",https://www.sec.gov/Archives/edgar/data/1038357/000103835724000020/pxd-20231231.htm,2023:Estimation Procedures and Audits 36 Proved Reserves 37 Description of Properties 38 Selected Oil and,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
upstream_oil,OXY,2022-01-01,,core,2026-07-22 機械遞補:PXD退市數據全失‧按市值第四大純上游遞補‧30份卷(2019+窗口),"原油與天然氣賣給煉廠,售價由 OPEC+ 產能與頁岩投資紀律決定;樽頸是鑽探投資週期與有限的優質井位。","上游:純油氣開採(E&P),不持煉廠",https://www.sec.gov/Archives/edgar/data/797468/000162828026009059/oxy-20251231.htm,2025:toward lower carbon intensity products. PROVED RESERVES AND SALES VOLUMES The table below shows the,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
defense,LMT,2022-01-01,,core,,售價由國防預算撥款加生產鏈產能決定;樽頸是固體火箭發動機、船台與專用產線——加不了單靠加班。,"上游/中游:純國防主承包商,裝備系統賣給美國及盟國政府",https://www.sec.gov/Archives/edgar/data/936468/000162828026004195/lmt-20251231.htm,"2025:subcontractor (including 63% from the Department of War (DoW), also known as the Department of",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
defense,RTX,2022-01-01,2021-11-30,weak_witness,"ADR-0039 純度:商用航空引擎/航電分部 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]",售價由國防預算撥款加生產鏈產能決定;樽頸是固體火箭發動機、船台與專用產線——加不了單靠加班。,"上游/中游:純國防主承包商,裝備系統賣給美國及盟國政府",https://www.sec.gov/Archives/edgar/data/101829/000010182926000006/rtx-20251231.htm,"2025:Corporation is an aerospace and defense company that provides advanced systems and services for commercial,",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
defense,NOC,2022-01-01,,core,,售價由國防預算撥款加生產鏈產能決定;樽頸是固體火箭發動機、船台與專用產線——加不了單靠加班。,"上游/中游:純國防主承包商,裝備系統賣給美國及盟國政府",https://www.sec.gov/Archives/edgar/data/1133421/000113342126000003/noc-20251231.htm,2025:from third parties. The U.S. government typically holds licenses to patents developed in the performance,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
defense,GD,2022-01-01,2021-11-30,weak_witness,"ADR-0039 純度:商務機(灣流)分部 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]",售價由國防預算撥款加生產鏈產能決定;樽頸是固體火箭發動機、船台與專用產線——加不了單靠加班。,"上游/中游:純國防主承包商,裝備系統賣給美國及盟國政府",https://www.sec.gov/Archives/edgar/data/40533/000004053326000006/gd-20251231.htm,"2025:is a global aerospace and defense company that specializes in high-end design, engineering and manufacturing",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
software_cloud,MSFT,2022-01-01,,core,,"零邊際成本,加座位即刻加得到,沒有實體樽頸;售價由企業 IT 支出週期決定,不由供給缺口決定。","下游:企業訂閱制軟件與雲平台,賣給企業 IT 預算",https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,"2026:services, including Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services. • LinkedIn,",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
software_cloud,CRM,2022-01-01,,core,,"零邊際成本,加座位即刻加得到,沒有實體樽頸;售價由企業 IT 支出週期決定,不由供給缺口決定。","下游:企業訂閱制軟件與雲平台,賣給企業 IT 預算",https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,"2026:businesses worldwide, primarily on a subscription basis, through our direct sales efforts and also indirectly",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
software_cloud,ORCL,2022-01-01,,core,,"零邊際成本,加座位即刻加得到,沒有實體樽頸;售價由企業 IT 支出週期決定,不由供給缺口決定。","下游:企業訂閱制軟件與雲平台,賣給企業 IT 預算",https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,2026:and certification programs through learning subscriptions offered by Oracle University. Learners generally have unlimited access,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
software_cloud,ADBE,2022-01-01,,core,,"零邊際成本,加座位即刻加得到,沒有實體樽頸;售價由企業 IT 支出週期決定,不由供給缺口決定。","下游:企業訂閱制軟件與雲平台,賣給企業 IT 預算",https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/adbe-20251128.htm,"2025:many more are available through subscriptions to Creative Cloud Pro (except Substance 3D Apps, which",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
software_cloud,NOW,2022-01-01,,core,,"零邊際成本,加座位即刻加得到,沒有實體樽頸;售價由企業 IT 支出週期決定,不由供給缺口決定。","下游:企業訂閱制軟件與雲平台,賣給企業 IT 預算",https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/now-20251231.htm,2025:standard and enhanced support through subscription-based services delivered by technical resources located worldwide. Customers also,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
software_cloud,PLTR,2022-01-01,,core,由metaverse_innov搬入,"零邊際成本,加座位即刻加得到,沒有實體樽頸;售價由企業 IT 支出週期決定,不由供給缺口決定。","下游:企業訂閱制軟件與雲平台,賣給企業 IT 預算",https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm,"2025:or proposed business strategies, including subscription-based or usage-based pricing structures, will achieve broad adoption by",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
software_cloud,SHOP,2022-01-01,,core,由metaverse_innov搬入,"零邊際成本,加座位即刻加得到,沒有實體樽頸;售價由企業 IT 支出週期決定,不由供給缺口決定。","下游:企業訂閱制軟件與雲平台,賣給企業 IT 預算",https://www.sec.gov/Archives/edgar/data/1594805/000159480526000007/shop-20251231.htm,"2025:that are paying for a subscription to our platform. Words importing the singular, where the",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
banks,JPM,2022-01-01,,core,,"售價由聯儲利率與信貸週期決定,不是實體樽頸;同一則利率或信貸消息把整批打同一個方向。",中游:美國大型銀行(存貸與交易服務),https://www.sec.gov/Archives/edgar/data/19617/000162828026008131/jpm-20251231.htm,2025:Board of Governors of the Federal Reserve System (the “Federal Reserve”). The Federal Reserve acts,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
banks,BAC,2022-01-01,,core,,"售價由聯儲利率與信貸週期決定,不是實體樽頸;同一則利率或信貸消息把整批打同一個方向。",中游:美國大型銀行(存貸與交易服務),https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/bac-20251231.htm,2025:Board of Governors of the Federal Reserve System (Federal Reserve). Our U.S. bank subsidiaries (the,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
banks,WFC,2022-01-01,,core,,"售價由聯儲利率與信貸週期決定,不是實體樽頸;同一則利率或信貸消息把整批打同一個方向。",中游:美國大型銀行(存貸與交易服務),https://www.sec.gov/Archives/edgar/data/72971/000007297126000133/wfc-20251231_d2.htm,2025:Board of Governors of the Federal Reserve System (Federal Reserve Board or FRB). The Parent,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
banks,GS,2022-01-01,,core,,"售價由聯儲利率與信貸週期決定,不是實體樽頸;同一則利率或信貸消息把整批打同一個方向。",中游:美國大型銀行(存貸與交易服務),https://www.sec.gov/Archives/edgar/data/886982/000088698226000091/gs-20251231.htm,"2025:Board of Governors of the Federal Reserve System (FRB). Our U.S. depository institution subsidiary, Goldman",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
banks,MS,2022-01-01,,core,,"售價由聯儲利率與信貸週期決定,不是實體樽頸;同一則利率或信貸消息把整批打同一個方向。",中游:美國大型銀行(存貸與交易服務),https://www.sec.gov/Archives/edgar/data/895421/000089542126000086/ms-20251231.htm,2025:Board of Governors of the Federal Reserve System (“Federal Reserve”) under the Bank Holding Company,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
staples,WMT,2022-01-01,,core,,"PG/KO 靠品牌提價,WMT/COST 靠規模壓供應商價——同一則成本上升消息,一邊是成本、一邊是議價籌碼,方向相反。",⚠️ 兩個位置溝在一條:品牌快消製造商(定價者)+ 大型零售商(壓價者),https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,"2026:Walmart' and 'Walmart Neighborhood Market' brands, as well as walmart.com and the Walmart mobile application.",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
staples,PG,2022-01-01,,core,,"PG/KO 靠品牌提價,WMT/COST 靠規模壓供應商價——同一則成本上升消息,一邊是成本、一邊是議價籌碼,方向相反。",⚠️ 兩個位置溝在一條:品牌快消製造商(定價者)+ 大型零售商(壓價者),https://www.sec.gov/Archives/edgar/data/80424/000008042426000103/pg-20260630.htm,"2026:as well as retailers' private-label brands. In this highly competitive setting, we are well positioned",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
staples,KO,2022-01-01,,core,,"PG/KO 靠品牌提價,WMT/COST 靠規模壓供應商價——同一則成本上升消息,一邊是成本、一邊是議價籌碼,方向相反。",⚠️ 兩個位置溝在一條:品牌快消製造商(定價者)+ 大型零售商(壓價者),https://www.sec.gov/Archives/edgar/data/21344/000162828026010047/ko-20251231.htm,"2025:license and market numerous beverage brands, which we group into the following categories: Trademark Coca-Cola;",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
staples,COST,2022-01-01,,core,,"PG/KO 靠品牌提價,WMT/COST 靠規模壓供應商價——同一則成本上升消息,一邊是成本、一邊是議價籌碼,方向相反。",⚠️ 兩個位置溝在一條:品牌快消製造商(定價者)+ 大型零售商(壓價者),https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm,"2025:and protection of our well-recognized brands, including the Costco Wholesale trademarks and our private-label brand,",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
