代號,公司,敘事適用度,證據等級,急性期相對大市低點%,全期相對大市低點%,至今相對大市%,①候選,衝擊時200日線,理由
GWRE,Guidewire,大致不適用,高,-31.2,-47.3,-25.3,①候選(貼線),線下,"收費掛保單保費不掛人頭,10-K 自稱 transactional system of record,五年合約"
ESTC,Elastic,大致不適用,高,-31.2,-42.4,4.1,①候選(貼線),線下,"明文 resource-based 計價,雲佔收入 49% 且 +22%,代理越多日誌與檢索用量越大"
PCTY,Paylocity,大致不適用,高,-30.4,-38.1,-13.2,①候選(貼線),線下,"計費基數是客戶全體僱員而非軟件座位,傳導路徑斷了一節;兼具法定報稅身分、代持 27.8 億客戶資金"
TOST,Toast,大致不適用,高,-29.4,-42.4,-17.0,不入(跌幅未夠深),線下,"FY2024 收入 81.7% 是支付金額百分比,僅 14.2% 訂閱且按門店計,加 FinCEN MSB 註冊與現場硬件"
PAYC,Paycom Software,大致不適用,高,-27.2,-27.3,25.4,不入(跌幅未夠深),線下,"收費基數是出糧名冊上的人而非用軟件的人,代理減的 HR 人手不是計費對象;10-K 寫 core system of record、持 OCC 牌照"
SNOW,Snowflake,大致不適用,高,-27.1,-43.9,37.5,不入(跌幅未夠深),線下,"按運算用量收費,代理做得越多用量越大;RPO 78.8 億、留存 125%"
MDB,MongoDB,大致不適用,高,-25.6,-44.9,-23.1,不入(跌幅未夠深),線上,"Atlas 按消耗計價已佔收入 75%,資料庫是轉換成本最高的記錄正本,淨 ARR 擴張 120%"
CRWD,CrowdStrike,大致不適用,高,-24.1,-24.1,62.4,不入(跌幅未夠深),線下,"10-K 明文 fees are based on the number of endpoints purchased,代理本身要跑在端點上;專有跨客戶遙測加 FedRAMP/IL5"
DDOG,Datadog,大致不適用,中,-17.4,-17.4,49.9,不入(跌幅未夠深),線下,"10-K 逐字 priced per host、per log events indexed,零席位計價;代理跑得多用量反而多(Q3 易不易自建屬判斷)"
TWLO,Twilio,大致不適用,高,-16.4,-16.4,54.5,不入(跌幅未夠深),線下,"訊息/語音/驗證按用量計,自建要簽電訊互連與拿號碼牌照,AI 代理打的電話反而經它的管道"
NET,Cloudflare,大致不適用,高,-12.4,-12.4,37.7,不入(跌幅未夠深),線下,"按存取與用量計價、335 城市實體網絡,界線前 NDR 由 110% 升到 119%"
WK,Workiva,資料不足,低,-34.6,-53.6,-25.5,—,線下,"界線前查不到計價單位,方向本身未確立;Q2/Q3 指向不適用但不足以定級。解除條件:補到界線前計價單位證據"
