代號,收費模式,證據句,備註,申報日,accession
TENB,混合,"We recognize substantially all of our revenue ratably over the term of our subscriptions and, to a lesser extent, perpetual licenses ratably over an expected period of benefit and, as a result, downturns in sales may not be immediately reflected in our operating results.",訂閱與永久授權並存,2025-02-24,0001660280-25-000034
NTNX,訂閱(未標明計量),"• our plans for, and the timing of, any current and future business model transitions, including our ongoing transition to a subscription-based business model, our ability to manage, complete or realize the benefits of such transitions successfully and in a timely manner, and the short-term and long-term impacts of such transitions on our business, operations and financial results; • the timing, evolution and potenti","轉訂閱中,未講計量",2022-09-21,000095017022018732
FSLY,用量或交易,The majority of our revenue is usage based and changes in usage by our largest customers can create volatility in our revenue.,按用量,2025-02-26,0001517413-25-000063
PTC,混合,"Compared to a perpetual license model, our subscription model naturally drives higher customer engagement and retention and provides better business predictability.",永久授權轉訂閱,2025-11-21,000119312525291326
U,混合,Our Cloud and Hosting service arrangements are based on a fixed fee or consumption-based model.,固定費加用量,2023-02-27,000181080623000016
IOT,訂閱(未標明計量),We offer subscriptions to access our Connected Operations Platform.,"原文只說訂閱,未講計量",2025-03-25,0001642896-25-000022
TYL,混合,Revenues We derive our revenues from three primary sources: • Subscription-based services • Maintenance and support • Professional services Subscription-Based Services Subscriptions revenue consists of revenues derived from our Software as a Service (“SaaS”) arrangements and transaction-based fees.,SaaS 訂閱加按件收費,2026-02-18,000086073126000016
BMNR,查不到,,"快取的 10-K 是賣股與挖礦年代的舊申報,掃不到收費模式語",2022-12-09,000168316822008295
TRMB,混合,Software including perpetual licenses is recognized upon delivery and commencement of the license term.,永久授權加訂閱,2026-02-25,000086474926000015
GWRE,資產或存戶,"We generally price our subscription services for core products based on the amount of Direct Written Premium (""DWP"") managed on our platform, with certain cloud-delivered products priced based on usage or other metrics.",按平台上保單保額,2025-09-11,0001528396-25-000221
DOCU,混合,"For example, in the second quarter of fiscal 2025, we began to offer our IAM platform on a user-based subscription with transaction-based add-ons.",按用戶訂閱加按件附加,2025-03-18,0001261333-25-000024
HUBS,混合,"In addition, our growth strategy involves a scalable pricing model (including freemium versions of our products and our recent seats-based and consumption-based pricing model changes) intended to provide opportunities to increase the value of our customer relationships over time, including as customers expand their use of our platform, or we sell to other parts of their organizations, cross-sell additional products a",席位與用量並存,2026-02-11,000119312526046646
MANH,查不到,,10-K 掃不到收費語,2025-02-07,0000950170-25-016295
NTCT,查不到,,10-K 掃不到收費語,2025-05-15,0001628280-25-025982
ATEN,混合,"Product Form Factors Our products are offered in a variety of form factors and payment models, including physical appliances and perpetual and subscription-based software licenses, as well as pay-as-you-go licensing models and FlexPool, a flexible consumption-based software model.",硬件加授權與訂閱加按用量,2025-02-25,0001580808-25-000043
HUT,用量或交易,"Usage revenue (overage and consumption-based services) is recorded as service revenue in the month the usage is incurred/service is consumed by the customer, based on a fixed agreed upon fee per unit consumed.",按用量,2026-02-25,000110465926019392
IDCC,用量或交易,The majority of the remaining portion of our recurring revenue was variable in nature due to the per-unit structure of the related license agreements.,專利授權按件,2025-02-06,0001405495-25-000011
ZD,用量或交易,"(ii) usage-based fees, and (iii) reselling various third-party solutions, primarily through the Company’s email security line of business.",按用量,2025-02-25,0001084048-25-000007
AUR,查不到,,10-K 掃不到收費語,2023-02-21,000182810823000020
RIOT,查不到,,10-K 掃不到收費語,2023-03-02,000155837023002704
WULF,查不到,,10-K 掃不到收費語,2026-02-27,000108330126000031
GTLB,查不到,,10-K 掃不到收費語,2025-03-21,0001628280-25-014344
PCOR,其他,"Our business model is designed to encourage rapid, widespread adoption of our products by allowing for unlimited users, meaning we do not charge a per-seat or per-user fee.","原文只明言**不**按席位/用戶,未講按什麼計",2025-02-26,0001628280-25-008121
DSGX,查不到,,倉內無 10-K 全文(加拿大申報),,
QBTS,查不到,,"10-K 只有 ASC 606 通用語,未講收費模式",2023-04-18,000190798223000011
ZETA,用量或交易,"A substantial portion of our revenue is derived from usage-based pricing, which is less stable than subscription-based pricing.",按用量,2025-02-26,0000950170-25-027338
PATH,混合,Licenses revenue (including the term license portion of Flex Offerings ) is recognized when we transfer control of the respective license to the customer.,定期授權加 SaaS,2025-03-24,0001734722-25-000007
CORZ,用量或交易,The Digital Asset Hosted Mining business generates revenue through the sale of consumption-based contracts for its digital asset hosted mining services which are recurring in nature.,按消耗(託管算力),2026-03-02,000162828026013305
SNAP,其他,"We define average revenue per user, or ARPU, as quarterly revenue divided by the average DAUs.","原文只給每人平均收入(廣告),未講收費模式",2025-02-05,0001564408-25-000019
OTEX,混合,"In addition, increased competition and transitioning from perpetual license sales to subscription-based business model could put significant pricing pressures on our products, which could negatively impact our margins and profitability.",永久授權轉訂閱,2025-08-07,0001002638-25-000053
CIFR,查不到,,10-K 掃不到收費語,2026-02-24,000181998926000009
CRCL,用量或交易,"115 Transaction revenue is generated from usage-based, volume-based, or event-driven transactions.",按用量與成交量,2026-03-09,0001876042-26-000062
ACIW,用量或交易,This does not include: Revenue that will be recognized in future periods from capacity overages that are accounted for as a usage-based royalty.,按超量,2025-02-27,0000935036-25-000006
RNG,混合,"These arrangements have contractual terms typically ranging from one month to five years and include recurring fixed plan subscription fees, variable usage-based fees for usage in excess of plan limits, one-time fees, recurring license and other fees, derived from sales through our direct and indirect sales channels, including resellers and distributors, strategic partners and global service providers.",定額加用量,2025-02-26,0001384905-25-000014
DBX,訂閱(未標明計量),Revenue recognition The Company derives its revenue from subscription fees from customers for access to its platform.,"原文只說訂閱費,未講計量",2025-02-21,0001467623-25-000011
APPF,用量或交易,We generally invoice our customers for usage-based services on a monthly basis or collect the fee at the time of service.,按用量,2025-02-06,0001433195-25-000013
BSY,混合,The Company’s standard offerings are usage based with monetization through the Company’s CSS program as described below.,按用量計費,2025-02-26,0001031308-25-000002
TTAN,用量或交易,"Fees for access to the Company’s Core platform are charged based upon a per unit basis which may vary by product, primarily on a per technician per month basis, and are generally invoiced to the customer in advance on the first day of the monthly service period.",按件(每技師每月),2025-04-02,0000950170-25-048834
BOX,席位,"Sales and Marketing We offer our solution to customers as a subscription-based service, with subscription fees based on customer requirements, including the number of users and functionality deployed.",按用戶數,2025-03-10,0000950170-25-036261
MARA,查不到,,10-K 掃不到收費語(加密貨幣挖礦),2023-03-16,000149315223007879
BILL,混合,We generate revenue by charging customers a fixed monthly rate per user for subscriptions as well as transaction fees.,按用戶定額加按件,2025-08-28,0001786352-25-000037
YOU,混合,"CLEAR1 contract structures vary by use case, but are typically multi-year agreements that drive revenue through transaction fees (charged per use or per user) in addition to an annual platform fee.",按次或按用戶,2025-02-26,0001856314-25-000008
RDWR,查不到,,倉內無 10-K 全文(以色列申報),,
WK,查不到,,10-K 掃不到收費語,2025-02-25,0001445305-25-000034
CCC,用量或交易,"For contracts where fees are solely based on transaction volume, the amount invoiced corresponds directly with the value provided to the customer, and revenue is recognized when invoiced using the as-invoiced practical expedient.",按成交量,2025-02-25,0000950170-25-026848
QTWO,席位,We consider various factors including the degree to which usage is interdependent or interrelated to past services and contractual price per user and their relationship to market terms.,按用戶,2025-02-12,0001410384-25-000010
DLB,用量或交易,Our branded licensing customers typically enter into a per unit royalty arrangement whereby they pay us for each unit they sell.,按件抽成,2025-11-18,0001308547-25-000007
LIF,混合,"Customers purchase a Global Positioning System (""GPS"") enabled device and a monthly subscription to access location tracking services.",硬件加月度訂閱,2025-02-27,0001581760-25-000008
CLSK,查不到,,10-K 掃不到收費語(加密貨幣挖礦),2022-12-15,000095017022026564
PEGA,訂閱(未標明計量),"Our clients largely prefer subscription-based offerings, requiring us to have a scalable organization and make a considerable investment of technical, financial, legal, managerial, and sales resources.","原文只說訂閱,未講計量",2025-02-12,0001013857-25-000024
ATO.FP,查不到,,倉內無 10-K 全文(法國申報),,
ADEA,席位,"Customers typically pay us a monthly per-subscriber fee and include many of the leading MVPDs and virtual MVPDs such as Altice USA (including Optimum), AT&T (including DirecTV and DirecTV Stream), Charter, Comcast (including Sky), Cox, DISH Network (including Sling TV), Google (including YouTube TV), Verizon and Vodafone.",按訂戶,2025-02-19,0000950170-25-023148
BRZE,查不到,,10-K 掃不到收費語,2025-03-31,0001676238-25-000054
SPSC,訂閱(未標明計量),Revenue for subscription-based services is recognized on a ratable basis over the contract term beginning on the date that our service is made available to the customer.,"原文只說訂閱,未講計量",2025-02-19,0001092699-25-000011
ALRM,席位,"We also generate SaaS and license revenue from monthly fees charged to service providers on a per subscriber basis for access to our non-hosted software platform, or Software platform.",按訂戶,2025-02-20,0001459200-25-000004
AGYS,用量或交易,"Our subscription service revenue is primarily based on rates per location, including rates per points of sale and per room.",按場點/房間數,2025-05-23,0000950170-25-076527
SOUN,混合,"Subscription revenues are derived from monthly fees based on fixed fees, usage-based revenue, revenue per query or revenue per user.",定額加用量與席位,2025-03-11,0001628280-25-011821
TDC,用量或交易,"Our Subscription Options Teradata offers subscription offerings that are flexibly priced, ranging from capacity-based to consumption-based pricing.",按容量與消耗,2026-02-27,000162828026012671
FRSH,訂閱(未標明計量),Deferred revenue consists of customer billings in advance of revenue being recognized from our subscription and professional services arrangements.,"原文只說訂閱加服務,未講計量",2025-02-20,0001544522-25-000010
KVYO,查不到,,"10-K 只講按交易量付給信用卡處理商的**成本**,未講自己按什麼收費(前半版誤判,已改)",2025-02-19,0001835830-25-000014
FIVN,混合,"The Company also offers bundled plans, generally for smaller deployments, whereby the customer is charged a single monthly fixed fee per agent seat that includes both subscription and unlimited usage in the contiguous 48 states and, in some cases, Canada.",按席位定額加用量,2025-02-21,0001288847-25-000028
RAMP,用量或交易,We also generate Marketplace and Other revenue through transactional usage-based arrangements with certain publishers and addressable TV providers.,按用量,2025-05-21,0000733269-25-000030
NCNO,訂閱(未標明計量),"Our subscription revenues consist principally of fees from customers for accessing our solutions and maintenance and support services that we generally offer under non-cancellable multi-year contracts, which are typically three to five years in length, we offer: Client onboarding, loan origination, and deposit account opening solutions targeted at a FI’s commercial, small business, and retail lines of business, as we","原文只說使用費,未講計量",2025-04-01,0001902733-25-000026
INTA,席位,We generally price our subscriptions based on the number of users adopting our solution and the modules deployed.,按使用人數,2025-08-20,0001193125-25-184080
AVPT,混合,"Invoices for SaaS, term license and support and maintenance are generally issued annually in advance or when the license is made available for customer use.",SaaS 加定期授權,2025-02-28,0001437749-25-005526
PRGS,混合,"Sales and Marketing Many of our products are sold as perpetual licenses, but certain products also use term licensing models, and our cloud-based offerings use a subscription-based model.",永久授權加定期授權加訂閱,2025-01-21,0000876167-25-000010
BLKB,用量或交易,"In addition, we derive a significant portion of our revenue from transaction-based payment processing fees that we collect from our customers through our Blackbaud Merchant Services solution, which enables our customers' donors to make donations and purchase goods and services using various payment options.",按交易,2025-02-21,0001280058-25-000010
ALKT,席位,"We predominantly employ a per-registered-user pricing model, with incremental fees above certain contractual client minimum commitments for each licensed solution.",按登記用戶,2025-02-28,0001529274-25-000031
BL,用量或交易,"Our pricing model is designed to allow us to capture additional revenue as our customers' usage of our platform grows, providing us with an opportunity to increase the lifetime value of our customer relationships.",按用量,2025-02-21,0001666134-25-000003
NN,用量或交易,"subscribers and certain pricing requirements for our SDKs based on the quantity of usage, revenue sharing, compliance with data rights and privacy, and support requirements; and (ii) AT&T hosting of Pinnacle equipment for altitude determination at AT&T sites, at no recurring cost to us.",按用量與出貨件數,2025-03-12,0001213900-25-023287
APPN,席位,We generally sell our software on a per-user basis or through non-user-based single application licenses.,按用戶,2025-02-19,0001441683-25-000017
AI,用量或交易,"With the consumption-based pricing model, customers either pay a monthly fee and consumption charges using vCPU and vGPU hours as the metric to calculate payment or enter into a time-certain multi-period commitment that may include consumption charges.",按用量,2025-06-23,0001628280-25-032604
LSPD,查不到,,倉內無 10-K 全文(加拿大申報),,
VYX,混合,"Further, we have product revenue derived from term-based software license arrangements that include customer termination rights and services revenue that is recurring or transaction-based business and we do not measure backlog information for these types of transactions.",定期授權加服務,2025-02-27,0000070866-25-000010
PD,席位,"PagerDuty Incident Management is offered as four plan options offered on a per-user basis -Free, Professional, Business and Enterprise -to address increasingly complex requirements.",按用戶,2025-03-17,0001568100-25-000023
VERX,用量或交易,"Our flexible, tiered transaction-based pricing model also results in our customers growing their spend with us as they grow and continue to use our solutions.",按交易,2025-02-27,0001558370-25-001820
ASAN,席位,"Our core work management product is available in a tiered, seat-based model -Personal, Starter, Advanced, Enterprise, and Enterprise+ -each providing increasing levels of functionality and control to support growing organizational complexity.",按席位,2025-03-18,0001477720-25-000045
AIP,用量或交易,"Royalties are calculated either as a percentage of the revenues received by a licensee’s sale of products incorporating the IP or on a per unit basis, as specified in the agreements with the licensees.",按件抽成,2025-02-18,0001667011-25-000010
CXM,混合,Our platform includes products that are licensed on a per-user basis as well as products that are licensed based on different tiers of volume.,席位加用量分級,2025-03-21,0001569345-25-000019
