代號,收費模式,命中語,原句,申報日,accession,取自
VRNS,授權或永久,Perpetual License,Services Maintenance and Support of Subscription and Perpetual Licenses Maintenance and support associated with a term license subscription is included in the Term license subscriptions revenue line of the statement of operations.,2025-02-06,0001628280-25-004187,全文(附註內找不到)
CVLT,用量或交易,based on the volume,These stock units were valued based on the volume weighted average price of our share price for the thirty days preceding the close date.,2025-05-05,0001169561-25-000034,收入確認附註
BB,用量或交易,usage-based,"The disclosure includes estimates of variable consideration, except when the variable consideration is a sales-based or usage-based royalty promised in exchange for a license of intellectual property.",2025-04-02,0001070235-25-000068,收入確認附註
TEAM,授權或永久,term license,"Data Center offerings are on-premises term license agreements for the Company’s Data Center products, which are software licensed for a specified period, and include support and maintenance services that are bundled with the license for the term of the license period.",2025-08-15,0001650372-25-000036,收入確認附註
4704.JP,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
SAIC,用量或交易,usage-based,"36 Table of Contents SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Many of our contracts include forms of variable consideration such as reimbursable costs, award and incentive fees, usage-based pricing, service-level penalties, performance bonuses, and other provisions that can either increase or decrease the transaction price.",2025-03-17,0001571123-25-000022,全文(附註內找不到)
ZM,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-02-28,0001585521-25-000042,
OTEX.CN,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
FICO,用量或交易,Usage-based,"This does not include: • Usage-based revenue that will be recognized in future periods from on-premises software subscriptions; • Consumption-based variable fees from SaaS software that will be recognized in the distinct service period during which it is earned; and • Revenue from variable considerations that will be recognized in accordance with the “right-to-invoice” practical expedient, such as fees from our professional services billed based on a time and materials basis.",2025-11-07,000081454725000030,收入確認附註
TENB,授權或永久,perpetual license,"77 Table of Contents We generate revenue from subscription arrangements for software and cloud-based solutions, perpetual licenses, maintenance associated with perpetual licenses, and professional services and other revenue.",2025-02-24,0001660280-25-000034,收入確認附註
NTNX,訂閱(未標明計量),subscription-based model,"In addition to our land and expand strategy described above, as part of our transition to a subscription-based model, we have enhanced our focus on renewals, which are typically associated with lower sales costs.",2022-09-21,000095017022018732,全文(附註內找不到)
FSLY,用量或交易,usage-based,"This pricing model has been in place for a limited amount of time, and we do not know the impact it will have on our usage-based pricing model over time.",2025-02-26,0001517413-25-000063,全文(附註內找不到)
PTC,用量或交易,based on volume,Contracts for which our commitment is variable or based on volumes with no fixed minimum quantities and contracts that can be canceled without payment penalties are not included in the purchase obligation amounts above.,2025-11-21,000119312525291326,全文(附註內找不到)
U,用量或交易,consumption-based,Our Cloud and Hosting service arrangements are based on a fixed fee or consumption-based model.,2023-02-27,000181080623000016,收入確認附註
IOT,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-03-25,0001642896-25-000022,
TYL,用量或交易,Transaction-based,"For the year ended December 31, 2025 Enterprise Software Platform Technologies Totals Revenues Subscriptions: SaaS $ 691,288 $ 86,481 Transaction-based fees 318,143 490,291 Maintenance 422,886 22,728 Professional services 213,749 28,951 Software licenses and royalties 13,049 ( 233 ) Hardware and other 35,306 336 Total segment revenues 1,694,421 628,554 2,322,975 Less: Cost of revenues 725,718 431,657 Sales and marketing expense 101,243 19,931 General and administrative expense 45,483 53,057 Research and development expense 161,346 17,845 Segment operating income $ 660,631 $ 106,064 $ 766,695 F",2026-02-18,000086073126000016,收入確認附註
BMNR,用量或交易,consumption-based,Hosting revenue from customers and related parties is based on consumption-based contracts with our customers and related parties.,2022-12-09,000168316822008295,全文(附註內找不到)
TRMB,授權或永久,perpetual license,Software including perpetual licenses is recognized upon delivery and commencement of the license term.,2026-02-25,000086474926000015,收入確認附註
GWRE,用量或交易,based on the volume,"Under the terms of the ASR, the total number of shares delivered and average price paid per share was determined at the settlement date based on the volume weighted average price over the term of the ASR, less an agreed upon discount.",2025-09-11,0001528396-25-000221,收入確認附註
DOCU,用量或交易,transaction-based,"For example, in the second quarter of fiscal 2025, we began to offer our IAM platform on a user-based subscription with transaction-based add-ons.",2025-03-18,0001261333-25-000024,全文(附註內找不到)
HUBS,用量或交易,consumption-based,"In addition, our growth strategy involves a scalable pricing model (including freemium versions of our products and our recent seats-based and consumption-based pricing model changes) intended to provide opportunities to increase the value of our customer relationships over time, including as customers expand their use of our platform, or we sell to other parts of their organizations, cross-sell additional products and seats through touchless or low touch in product purchases, and upsell additional offerings and features.",2026-02-11,000119312526046646,全文(附註內找不到)
MANH,用量或交易,usage-based,We exclude sales and usage-based taxes from revenue.,2025-02-07,0000950170-25-016295,全文(附註內找不到)
NTCT,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-05-15,0001628280-25-025982,
ATEN,用量或交易,consumption-based,"Product Form Factors Our products are offered in a variety of form factors and payment models, including physical appliances and perpetual and subscription-based software licenses, as well as pay-as-you-go licensing models and FlexPool, a flexible consumption-based software model.",2025-02-25,0001580808-25-000043,全文(附註內找不到)
HUT,用量或交易,consumption-based,"Usage revenue (overage and consumption-based services) is recorded as service revenue in the month the usage is incurred/service is consumed by the customer, based on a fixed agreed upon fee per unit consumed.",2026-02-25,000110465926019392,收入確認附註
IDCC,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-02-06,0001405495-25-000011,
ZD,用量或交易,usage-based,"(ii) usage-based fees, and (iii) reselling various third-party solutions, primarily through the Company’s email security line of business.",2025-02-25,0001084048-25-000007,收入確認附註
AUR,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2023-02-21,000182810823000020,
RIOT,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2023-03-02,000155837023002704,
WULF,用量或交易,Transaction-based,"GAAP measure (i.e., net loss) for the periods indicated (in thousands): Year Ended December 31, 2025 2024 Net loss $ (661,416) $ (72,418) Adjustments to reconcile net loss to non-GAAP Adjusted EBITDA: Gain on sale of equity interest in investee — (22,602) Equity in net loss (income) of investee, net of tax 4,130 (3,363) Distributions from investee, related to Nautilus — 22,776 Income tax provision 76 — Other income (39,044) (3,927) Loss on extinguishment of debt — 6,300 Change in fair value of warrants and derivatives 429,793 — Interest expense 80,248 19,794 Loss on disposals of property, plan",2026-02-27,000108330126000031,全文(附註內找不到)
GTLB,席位,number of seats,"Even if customers choose to renew their current subscriptions with us, they may decline to purchase additional services or they may choose to downtier or otherwise decrease the number of seats in their subscription.",2025-03-21,0001628280-25-014344,全文(附註內找不到)
PCOR,授權或永久,software license fees,"Additionally, cost of revenue includes non-personnel-related expenses, such as third-party hosting costs, amortization of acquired technology intangible assets, amortization of capitalized software development costs related to the Company’s platform, software license fees, and allocated overhead.",2025-02-26,0001628280-25-008121,收入確認附註
DSGX,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
QBTS,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2023-04-18,000190798223000011,
ZETA,用量或交易,transaction based,The Company has recorded this transaction based on the preliminary purchase price allocation.,2025-02-26,0000950170-25-027338,收入確認附註
PATH,授權或永久,term license,Licenses revenue (including the term license portion of Flex Offerings ) is recognized when we transfer control of the respective license to the customer.,2025-03-24,0001734722-25-000007,全文(附註內找不到)
CORZ,用量或交易,consumption-based,The Digital Asset Hosted Mining business generates revenue through the sale of consumption-based contracts for its digital asset hosted mining services which are recurring in nature.,2026-03-02,000162828026013305,收入確認附註
SNAP,席位,per user,We count a DAU only when a user visits Snapchat through our applications or websites and only once per user per day.,2025-02-05,0001564408-25-000019,全文(附註內找不到)
OTEX,授權或永久,perpetual license,"In addition, increased competition and transitioning from perpetual license sales to subscription-based business model could put significant pricing pressures on our products, which could negatively impact our margins and profitability.",2025-08-07,0001002638-25-000053,全文(附註內找不到)
CIFR,用量或交易,transaction based,"The Company determined that the Luminant Lease Agreement and the Luminant Purchase and Sale Agreement should be combined for accounting purposes under ASC 842 (collectively, the “Combined Luminant Lease Agreement”) and that amounts exchanged under the combined contract should be allocated to the various components of the overall transaction based on relative fair values.",2026-02-24,000181998926000009,收入確認附註
CRCL,用量或交易,usage-based,"115 Transaction revenue is generated from usage-based, volume-based, or event-driven transactions.",2026-03-09,0001876042-26-000062,收入確認附註
ACIW,用量或交易,usage-based,Revenue that will be recognized in future periods from capacity overages that are accounted for as a usage-based royalty.,2025-02-27,0000935036-25-000006,收入確認附註
RNG,用量或交易,usage-based,"These arrangements have contractual terms typically ranging from one month to five years and include recurring fixed plan subscription fees, variable usage-based fees for usage in excess of plan limits, one-time fees, recurring license and other fees, derived from sales through our direct and indirect sales channels, including resellers and distributors, strategic partners and global service providers.",2025-02-26,0001384905-25-000014,收入確認附註
DBX,席位,based on users,Our autocomplete technology surfaces and prioritizes content based on users’ previous activity.,2025-02-21,0001467623-25-000011,全文(附註內找不到)
APPF,用量或交易,Usage-based,"Usage-based fees are charged either as a percentage of the transaction amount (e.g., for certain of our electronic payment services) or on a flat fee per transaction basis with no minimum usage commitments (e.g., for our tenant screening and risk mitigation services).",2025-02-06,0001433195-25-000013,收入確認附註
BSY,席位,based on the number of users,"We deliver our Bentley Infrastructure Cloud capabilities under our CSS, charged quarterly based on the number of users of various levels of functionality.",2025-02-26,0001031308-25-000002,全文(附註內找不到)
TTAN,席位,based on the number of users,"Our customer contracts are generally based on the number of users, mix of products, number of end customers and the amount of GTV.",2025-04-02,0000950170-25-048834,全文(附註內找不到)
BOX,席位,number of seats,"We cannot assure you that customers will renew their subscriptions upon expiration at the same or higher level of service, for the same number of seats or for the same duration of time, if at all.",2025-03-10,0000950170-25-036261,全文(附註內找不到)
MARA,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2023-03-16,000149315223007879,
BILL,席位,based on the number of users,The Company charges its SMB and accounting firm customers subscription fees for access to its platform either based on the number of users or per customer account and the level of service.,2025-08-28,0001786352-25-000037,收入確認附註
YOU,席位,per user,"CLEAR1 contract structures vary by use case, but are typically multi-year agreements that drive revenue through transaction fees (charged per use or per user) in addition to an annual platform fee.",2025-02-26,0001856314-25-000008,全文(附註內找不到)
RDWR,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
WK,席位,number of seats,"Since solution-based licensing offers our customers an unlimited number of seats for each solution purchased, we expect customers to add more seats over time.",2025-02-25,0001445305-25-000034,全文(附註內找不到)
CCC,用量或交易,based on transaction volume,"For contracts where fees are solely based on transaction volume, the amount invoiced corresponds directly with the value provided to the customer, and revenue is recognized when invoiced using the as-invoiced practical expedient.",2025-02-25,0000950170-25-026848,收入確認附註
QTWO,席位,per user,We consider various factors including the degree to which usage is interdependent or interrelated to past services and contractual price per user and their relationship to market terms.,2025-02-12,0001410384-25-000010,全文(附註內找不到)
DLB,用量或交易,consumption-based,Revenue Generation Dolby OptiView is a software as a service (SaaS) product licensed directly to enterprises via a consumption-based revenue model.,2025-11-18,0001308547-25-000007,全文(附註內找不到)
LIF,訂閱(未標明計量),subscription-based service,"We have also invested, and expect to continue to invest, significant resources in growing our subscription-based services to support increasing usage as well as new lines of business, products, services, product extensions and other initiatives to generate revenue.",2025-02-27,0001581760-25-000008,全文(附註內找不到)
CLSK,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2022-12-15,000095017022026564,
PEGA,授權或永久,Perpetual license,"$ 828,332 55 % $ 785,029 55 % $ 763,558 57 % Other Americas 95,698 6 % 85,149 6 % 102,980 8 % United Kingdom (""U.K."") 157,830 11 % 158,014 11 % 115,793 9 % Europe (excluding U.K.), Middle East, and Africa 249,325 17 % 242,303 17 % 194,563 15 % Asia-Pacific 165,995 11 % 162,121 11 % 140,951 11 % $ 1,497,180 100 % $ 1,432,616 100 % $ 1,317,845 100 % Revenue streams (in thousands) 2024 2023 2022 Pega Cloud $ 558,734 $ 461,328 $ 384,271 Maintenance 323,304 331,856 317,564 Consulting 213,273 221,706 230,654 Revenue recognized over time 1,095,311 1,014,890 932,489 Subscription license 398,102 407,62",2025-02-12,0001013857-25-000024,收入確認附註
ATO.FP,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
ADEA,席位,per-subscriber,"Customers typically pay us a monthly per-subscriber fee and include many of the leading MVPDs and virtual MVPDs such as Altice USA (including Optimum), AT&T (including DirecTV and DirecTV Stream), Charter, Comcast (including Sky), Cox, DISH Network (including Sling TV), Google (including YouTube TV), Verizon and Vodafone.",2025-02-19,0000950170-25-023148,全文(附註內找不到)
BRZE,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-03-31,0001676238-25-000054,
SPSC,訂閱(未標明計量),subscription-based service,Revenue for subscription-based services is recognized on a ratable basis over the contract term beginning on the date that our service is made available to the customer.,2025-02-19,0001092699-25-000011,收入確認附註
ALRM,席位,per subscriber,"While we would generate revenue from ADT subscribers not on our platform using service offerings covered by any of our licensed patents from the per subscriber royalty fee charged to ADT under the patent license, these monthly fees will be less on a per subscriber basis than fees we receive from our SaaS solutions.",2025-02-20,0001459200-25-000004,全文(附註內找不到)
AGYS,用量或交易,per-transaction,We recognize certain subscription service revenue on a per-transaction basis.,2025-05-23,0000950170-25-076527,收入確認附註
SOUN,席位,per user,"Subscription revenues are derived from monthly fees based on fixed fees, usage-based revenue, revenue per query or revenue per user.",2025-03-11,0001628280-25-011821,收入確認附註
TDC,用量或交易,capacity-based,"Our Subscription Options Teradata offers subscription offerings that are flexibly priced, ranging from capacity-based to consumption-based pricing.",2026-02-27,000162828026012671,全文(附註內找不到)
FRSH,席位,based on the number of users,"We generally charge our customers for their use of our products based on the number of users they enable as ""agents"" under their customer account, as well as the features and functionality enabled.",2025-02-20,0001544522-25-000010,全文(附註內找不到)
KVYO,用量或交易,based on transaction volume,"The Company incurs fees based on transaction volume and dollars processed through its credit card processor which are 91 Table of Contents Klaviyo, Inc.",2025-02-19,0001835830-25-000014,全文(附註內找不到)
FIVN,用量或交易,usage-based,"We generate subscription revenue from our Intelligent CX Platform, and also generate usage-based telephony revenue.",2025-02-21,0001288847-25-000028,全文(附註內找不到)
RAMP,用量或交易,usage-based,"The Company has one primary business activity, its data collaboration platform, as described in the business description section of Note 1, ""Organization and Summary of Significant Accounting Policies."" The Company generates revenue from subscription fees from clients accessing our platform and from transactional usage-based fees from arrangements with certain publishers and addressable TV providers, and professional services fees.",2025-05-21,0000733269-25-000030,收入確認附註
NCNO,席位,seat-based,"As a result, we have shifted from a seat-based pricing model to a pricing framework that helps ensure value-based positioning and pricing of our products primarily based on the asset size of the FI.",2025-04-01,0001902733-25-000026,全文(附註內找不到)
INTA,席位,based on the number of users,We generally price our subscriptions based on the number of users adopting our solution and the modules deployed.,2025-08-20,0001193125-25-184080,全文(附註內找不到)
AVPT,授權或永久,term license,"Invoices for SaaS, term license and support and maintenance are generally issued annually in advance or when the license is made available for customer use.",2025-02-28,0001437749-25-005526,收入確認附註
PRGS,授權或永久,perpetual license,"Sales and Marketing Many of our products are sold as perpetual licenses, but certain products also use term licensing models, and our cloud-based offerings use a subscription-based model.",2025-01-21,0000876167-25-000010,全文(附註內找不到)
BLKB,用量或交易,transaction-based,"In addition, we derive a significant portion of our revenue from transaction-based payment processing fees that we collect from our customers through our Blackbaud Merchant Services solution, which enables our customers' donors to make donations and purchase goods and services using various payment options.",2025-02-21,0001280058-25-000010,全文(附註內找不到)
ALKT,用量或交易,usage-based,Revenues are recognized net of the most likely amount of sales credits and allowances and presented net of sales and usage-based taxes collected from clients on behalf of governmental authorities.,2025-02-28,0001529274-25-000031,收入確認附註
BL,席位,based on the number of users,"Since our customers generally pay fees based on the number of users on our platform within their organization, we believe the total number of users is an indicator of the growth of our business.",2025-02-21,0001666134-25-000003,全文(附註內找不到)
NN,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-03-12,0001213900-25-023287,
APPN,席位,per-user,We generally sell our software on a per-user basis or through non-user-based single application licenses.,2025-02-19,0001441683-25-000017,全文(附註內找不到)
AI,用量或交易,usage-based,The Company excludes amounts related to performance obligations and usage-based royalties that are billed and recognized as they are delivered or billed and recognized in the same period.,2025-06-23,0001628280-25-032604,收入確認附註
LSPD,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
VYX,用量或交易,transaction-based,"Further, we have product revenue derived from term-based software license arrangements that include customer termination rights and services revenue that is recurring or transaction-based business and we do not measure backlog information for these types of transactions.",2025-02-27,0000070866-25-000010,全文(附註內找不到)
PD,席位,per-user,"PagerDuty Incident Management is offered as four plan options offered on a per-user basis - Free, Professional, Business and Enterprise - to address increasingly complex requirements.",2025-03-17,0001568100-25-000023,全文(附註內找不到)
VERX,用量或交易,transaction-based,"Our flexible, tiered transaction-based pricing model also results in our customers growing their spend with us as they grow and continue to use our solutions.",2025-02-27,0001558370-25-001820,全文(附註內找不到)
ASAN,席位,seat-based,"Our core work management product is available in a tiered, seat-based model &#8211; Personal, Starter, Advanced, Enterprise, and Enterprise+ &#8211; each providing increasing levels of functionality and control to support growing organizational complexity.",2025-03-18,0001477720-25-000045,全文(附註內找不到)
AIP,授權或永久,perpetual right,"and Qualcomm France SARL (collectively, Qualcomm) and us and certain of our subsidiaries dated October 9, 2013, pursuant to which we sold to Qualcomm certain assets and intellectual property related to our FlexNoC product (the Purchase Agreement), we and our affiliates retained a non-exclusive, worldwide, perpetual right under patents acquired under the Purchase Agreement to, among other things, manufacture, license and distribute certain FlexNoC products and certain modifications thereto (the Retained Rights).",2025-02-18,0001667011-25-000010,全文(附註內找不到)
CXM,席位,per-user,Our platform includes products that are licensed on a per-user basis as well as products that are licensed based on different tiers of volume.,2025-03-21,0001569345-25-000019,全文(附註內找不到)
