theme,ticker,valid_from,valid_to,role,note
uranium_power,DUK,2022-01-01,2021-11-30,core,"2026-07-21 出世紙修正:規管電力股同鈾價脫鈎;CEG 歸電力商 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
uranium_power,SO,2022-01-01,2021-11-30,core,"2026-07-21 出世紙修正:規管電力股同鈾價脫鈎;CEG 歸電力商 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
copper,FCX,2022-01-01,,core,
copper,SCCO,2022-01-01,,core,
copper,TECK,2022-01-01,2021-11-30,core,"2026-07-24 剔:回測期(2022-2024中)冶金煤佔重‧非純銅‧按BHP/RIO先例全期出隊;2024賣煤轉純銅後可另議重入(ADR-0032) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
copper,BHP,2022-01-01,2021-11-30,core,"2026-07-21 手術S1出隊:綜合礦業‧主盈利=鐵礦石(中國鋼鐵週期)‧非銅電氣化;去向=中國政策池‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
copper,RIO,2022-01-01,2021-11-30,core,"2026-07-21 手術S1出隊:鐵礦石佔盈利七成半以上‧非銅電氣化;去向=中國政策池‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
china,BABA,2022-01-01,,core,
china,BIDU,2022-01-01,,core,
china,JD,2022-01-01,,core,
china,NTES,2022-01-01,,core,
energy,XOM,2022-01-01,2026-07-22,core,2026-07-22 手術(四之二十一/四之二十二):energy主題(一體化巨頭籃子)整條退役出宇宙‧存檔留痕‧唔再入答案卷/持倉候選(exp9_design.md四之二十二)
energy,CVX,2022-01-01,2026-07-22,core,2026-07-22 手術(四之二十一/四之二十二):energy主題整條退役出宇宙‧存檔留痕‧唔再入答案卷/持倉候選(exp9_design.md四之二十二)
energy,COP,2022-01-01,2026-07-22,core,2026-07-22 手術:energy主題退役‧COP轉入新開upstream_oil純上游主題(見下)
upstream_oil,COP,2022-01-01,,core,2026-07-22 新開純上游主題(缺口型‧可落注):按市值最大三隻機械化選員之一‧卷已有(舊energy主題成員轉入)
upstream_oil,EOG,2022-01-01,,core,2026-07-22 新開:按市值最大三隻機械化選員之一‧本次補讀卷(22份)
upstream_oil,PXD,2022-01-01,2024-05-03,core,2026-07-22 新開:按市值最大三隻機械化選員之一‧2024年被埃克森收購‧出世紙dated退場(valid_to=收購完成日近似);defeatbeta/yfinance/futunn三源逐字稿‧股價‧業績歷史全部搵唔到退市股數據(如實記錄‧0份卷可用)‧數據全失‧名義成員(2026-07-22補註:機械規則下由OXY遞補‧見下)
upstream_oil,OXY,2022-01-01,,core,2026-07-22 機械遞補:PXD退市數據全失‧按市值第四大純上游遞補‧30份卷(2019+窗口)
defense,LMT,2022-01-01,,core,
defense,RTX,2022-01-01,2021-11-30,weak_witness,"ADR-0039 純度:商用航空引擎/航電分部 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
defense,NOC,2022-01-01,,core,
defense,GD,2022-01-01,2021-11-30,weak_witness,"ADR-0039 純度:商務機(灣流)分部 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
software_cloud,MSFT,2022-01-01,,core,
software_cloud,CRM,2022-01-01,,core,
software_cloud,ORCL,2022-01-01,,core,
software_cloud,ADBE,2022-01-01,,core,
software_cloud,NOW,2022-01-01,,core,
software_cloud,PLTR,2022-01-01,,core,由metaverse_innov搬入
software_cloud,SHOP,2022-01-01,,core,由metaverse_innov搬入
banks,JPM,2022-01-01,,core,
banks,BAC,2022-01-01,,core,
banks,WFC,2022-01-01,,core,
banks,GS,2022-01-01,,core,
banks,MS,2022-01-01,,core,
staples,WMT,2022-01-01,,core,
staples,PG,2022-01-01,,core,
staples,KO,2022-01-01,,core,
staples,COST,2022-01-01,,core,
gold,NEM,2022-01-01,,core,
gold,B,2022-01-01,,core,
gold,AEM,2022-01-01,,core,
memory,MU,2022-01-01,,core,
memory,SNDK,2025-02-01,,core,
memory,WDC,2022-01-01,2021-11-30,core,"ADR-0039 方向測試:快閃同硬碟互相抵消=內部對沖缺口;追溯剔出籃 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
memory,WDC,2025-02-01,2021-11-30,weak_witness,"ADR-0039 方向測試:快閃同硬碟互相抵消(快閃貴買家轉硬碟)=內部對沖缺口 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
optical_cpo,LITE,2022-01-01,,core,
optical_cpo,COHR,2022-01-01,,core,ADR-0039 讀對瓣:只讀光通訊瓣。三瓣唔互相抵消(磷化銦短缺唔會令工業雷射得益)
optical_cpo,CIEN,2022-01-01,2021-11-30,core,"2026-07-24 剔:光傳輸系統商(元件商下游客戶)‧非光元件同位‧會溝淡AI互連讀數(ADR-0032)‧全期出隊照BHP/RIO式 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
optical_cpo,GLW,2022-01-01,2021-11-30,core,"ADR-0039 純度:光通訊只佔康寧一小瓣 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
optical_cpo,AAOI,2022-01-01,2021-11-30,core,"ADR-0039 方向+代表性:市值佔全籃1%卻主導籃子回報;主席2026-07-27明令剔走 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
power_producers,VST,2022-01-01,,core,
power_producers,CEG,2022-02-01,,core,分拆日
power_producers,NRG,2022-01-01,2021-11-30,core,"ADR-0039 純度:零售電力業務 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
power_producers,TLN,2023-06-01,,core,上市日(2026-07-28 修正:原寫 2022-01-01,但 Talen 2023-06-02 先掛牌,令 2022Q1–2023Q1 五季把一間未上市公司計入籃)
power_producers,ETR,2022-01-01,2021-11-30,core,"2026-07-21 手術S2出隊:規管公用事業‧盈利=監管rate-base回報‧唔隨市價;同鈾鏈剔規管股(CEG/DUK/SO)同一邏輯(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
web3_crypto,COIN,2022-01-01,,core,
web3_crypto,MSTR,2022-01-01,,core,
web3_crypto,MARA,2022-01-01,,core,
web3_crypto,RIOT,2022-01-01,,core,
web3_crypto,HUT,2022-01-01,,core,
web3_crypto,HOOD,2022-01-01,,core,弱證人掛靠:HOOD主業fintech非核心web3成員
glp1,LLY,2022-01-01,,core,
glp1,NVO,2022-01-01,,core,
glp1,VKTX,2022-01-01,2021-11-30,core,"ADR-0039 方向測試:臨床期無產品收入,答唔到售價由咩供需決定 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
glp1,HIMS,2022-01-01,2021-11-30,weak_witness,"ADR-0039 方向測試:遠程醫療複方分銷,同原廠方向相反 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
glp1,AMGN,2022-01-01,2021-11-30,core,"ADR-0039:同時坐biotech層,計兩次;MariTide仍臨床期 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
solar,ENPH,2022-01-01,,core,
solar,SEDG,2022-01-01,,core,
solar,FSLR,2022-01-01,2021-11-30,core,"2026-07-21 手術S3出隊:公用事業級面板+合約簿+IRA製造補貼‧非住宅裝機需求;去向=「美國本土太陽能製造」真敘事但未夠三員‧孵化器候補(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
solar,RUN,2022-01-01,2021-11-30,weak_witness,"ADR-0039 方向測試:住宅安裝商,同逆變器製造商方向相反 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
cannabis,GTBIF,2022-01-01,2026-07-21,core,ADR-0017 §5 已退役(2026-07-21);ADR-0039 補回日期
metaverse_innov,U,2022-01-01,2026-07-21,core,ADR-0017 §5 已退役(2026-07-21);ADR-0039 補回日期
metaverse_innov,RBLX,2022-01-01,2026-07-21,core,ADR-0017 §5 已退役(2026-07-21);ADR-0039 補回日期
quantum,IONQ,2022-01-01,,core,
quantum,RGTI,2022-01-01,,core,
quantum,QBTS,2022-01-01,,core,
quantum,QUBT,2022-01-01,,core,
streaming,NFLX,2022-01-01,,core,
streaming,DIS,2022-01-01,,core,
streaming,WBD,2022-01-01,,core,
streaming,PARA,2022-01-01,,core,
streaming,SPOT,2022-01-01,,strong_witness,審計標籤:強
streaming,ROKU,2022-01-01,,core,由metaverse_innov搬入
betting,DKNG,2022-01-01,,core,改網上博彩型
betting,PENN,2022-01-01,2021-11-30,core,"2026-07-21 手術S8出隊:實體區域賭場(同MGM同類)‧非純線上博彩;去向=實體賭場板塊‧棄(僅影響答案卷‧betting已剔出落注池‧universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
betting,FLUT,2022-01-01,,core,2026-07-22 結構修復補入(四之二十/四之二十一容許:手術後跌破三員下限嘅鏈可補人);FanDuel母企‧純線上博彩;本次補讀卷(15份)
ev,TSLA,2022-01-01,2021-11-30,core,"ADR-0039:過完三關淨返TSLA一間,一間公司唔係一條鏈,層唔成立 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
ev,RIVN,2022-01-01,2021-11-30,core,"ADR-0039:過完三關淨返TSLA一間,一間公司唔係一條鏈,層唔成立 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
ev,NIO,2022-01-01,2021-11-30,core,"2026-07-21 手術S6出隊:中國車廠‧盈利開關=中國價格戰/政策‧落喺讀唔到嗰條供需卷;去向=中國政策池‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
ev,XPEV,2022-01-01,2021-11-30,core,"2026-07-21 手術S6出隊:中國車廠‧盈利開關=中國價格戰/政策‧落喺讀唔到嗰條供需卷;去向=中國政策池‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
ev,LCID,2022-01-01,2021-11-30,core,"ADR-0039:過完三關淨返TSLA一間,一間公司唔係一條鏈,層唔成立 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
cyber,PANW,2022-01-01,,core,
cyber,CRWD,2022-01-01,,core,
cyber,ZS,2022-01-01,,core,
cyber,FTNT,2022-01-01,,core,
cyber,OKTA,2022-01-01,,core,
travel_cruise,RCL,2022-01-01,,core,
travel_cruise,CCL,2022-01-01,,core,
travel_cruise,NCLH,2022-01-01,,core,
travel_cruise,ABNB,2022-01-01,2021-11-30,core,"2026-07-21 手術S5出隊:資產輕線上旅遊平台(抽佣)‧非郵輪運力方程式;去向=純需求平台‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
travel_cruise,BKNG,2022-01-01,2021-11-30,core,"2026-07-21 手術S5出隊:資產輕線上旅遊平台(抽佣)‧非郵輪運力方程式;去向=純需求平台‧棄(universe_audit_v2.md §三) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
homebuilders,DHI,2022-01-01,,core,
homebuilders,LEN,2022-01-01,,core,
homebuilders,PHM,2022-01-01,,core,
homebuilders,TOL,2022-01-01,2021-11-30,core,"ADR-0039 純度:豪宅訂製,同量產建商定價機制唔同 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
homebuilders,NVR,2022-01-01,2021-11-30,core,"ADR-0039 純度:輕土地模式,同持地建商方向唔同 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
ag_fertilizer,MOS,2022-01-01,,core,
ag_fertilizer,CF,2022-01-01,,core,
ag_fertilizer,NTR,2022-01-01,2021-11-30,core,"ADR-0039 純度:零售分部佔EBITDA 31%,係化肥下游分銷,內部反方向 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
fintech,SOFI,2022-01-01,,core,
fintech,HOOD,2022-01-01,,core,
fintech,AFRM,2022-01-01,,core,
fintech,PYPL,2022-01-01,,core,
fintech,UPST,2022-01-01,,core,
gig,UBER,2022-01-01,,core,
gig,DASH,2022-01-01,,core,
gig,LYFT,2022-01-01,,core,
gig,GRAB,2022-01-01,,core,
oilfield_services,SLB,2022-01-01,,core,v3新主題;話事人
oilfield_services,HAL,2022-01-01,,core,v3新主題
oilfield_services,BKR,2022-01-01,2021-11-30,core,"ADR-0039 純度:工業與能源技術分部佔近半 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
semi_equipment,AMAT,2022-01-01,,core,v3新主題;話事人
semi_equipment,LRCX,2022-01-01,,core,v3新主題
semi_equipment,KLAC,2022-01-01,,core,2026-07-23 結構補員(universe_audit_v3.md §四 R1;三員下限):KLA 同層WFE機械按市值第三大(ASML荷蘭上市除外);本次補讀卷(29份)
smr_newbuild,SMR,2022-08-01,2021-11-30,core,"ADR-0039:主席2026-07-27裁決今輪剔走保持實驗簡單;round 2 重開且必須入生產 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
smr_newbuild,OKLO,2024-08-01,2021-11-30,core,"ADR-0039:主席2026-07-27裁決今輪剔走保持實驗簡單;round 2 重開且必須入生產 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
defense,LHX,2022-01-01,,core,"ADR-0039 新增:四個分部全部軍政府客戶,冇商用航空/商務機瓣;2021-12-01市值407.0億"
defense,HII,2022-01-01,,core,"ADR-0039 新增:美國唯一核潛艇同航母船廠,獨市即代表性最高;2021-12-01市值70.7億"
oilfield_services,WFRD,2022-01-01,,core,"ADR-0039 新增:全線國際油服,冇LNG設備臂,同層最純;2021-12-01市值20.2億"
